英国 球队	退出 国际	足联
， 国际 货币 基金 组织	停止	由于 腐败 问题
美洲 原 住民	对	与 中东 割礼 的
Ludwig van Beethoven)	写	了 两 首 大提 琴奏 鸣曲 Op. 102 个
结构 蛋白	结合	DNA
约翰	亚当斯不利用	反对 独立 的
Joseph Priestley)	学 习法 语 、	意大利 语 和 德语
乙酸	也 会 分解 成	上列 产物
亚伯拉罕林肯	支持	伊利诺伊 州 和 密歇根 州 运河 的 建设
Ricardo Ffrench - Davis Gabriel Boric	击败	Camila Vallejo
乔治赫伯特 沃克布什	赢得 南 卡罗来纳 州 和 17 个州 中 的 16 个 举行	初选
Lakshadweep	盛行	在 Lakshadweep
乔治 · 赫伯特 · 沃克 · 布什	出生	于 米尔顿
印度	使用	命位 记 数法
1989	持续	到 独裁 者 阿尔弗雷多 · 斯特罗斯纳 (Alfredo Stroessner)
Virat Kohli	中	58
近 70万 移民	抵达	意大利
Lakshadweep	是	印度 的 联邦 领土
其他 几 个 边境 口岸	周围	东德
欧盟	推迟	英国 脱欧
一些 部落	离开	逊尼派 伊斯兰 教 或 逊尼派
中年 的 肖像	年老	亚伯拉罕 · 林肯
这 个 词	是	指
萧 伯纳	访问	柏林
了 热月 政变	爆发	法国
Aaron Hillel Swartz	参与	网络 提要 格式 RSS 的 开发
剩余 的 戈达瓦里 河	流出	科帕尔 冈镇
尼禄	唱出	了 伊利姆 之
德國	接种	新冠 疫苗 加 强针
亚伯拉罕 · 林肯	赞成	必然 论
所有 设备	运行	Windows 10
Aurobindo Ghose	娶	14 岁 的 Mrinalini
上加利福尼亚 州	包括	圣地亚哥 以及 圣地亚哥 市 和 县
德国	开始 发展	纳米比亞 共和 国
2013	指	墨西哥 城
Arcturus	被 称	为 “ 真正 的 珍珠
城市	也是 伴随	人类 文明 与 进步 发展
行政 权力 安道尔	没有	安道尔
第18 步兵 团 的 1500 名 士兵	到达	柏林
阿那克西曼德	满	64 岁
Aalok Pashupatinath 神庙	分关闭	于 下午 6 点 30
李 小龙	夺得 香港	历届 冠军
墨西哥 城	是 缩写 。	CDMX
德国	派出	秃鹰 军团
研究	聚焦	的 变数 是 如何 因应 各种 条件 进行 改變
视觉 与 声音	列表	费 德里科 · 费里尼
美国 宪法	是	多数 政治 话 语 的 焦点
香港 岛	特点 是	东 西方 的 混合
利比亚	排名	很低
Claude Louis Berthollet	反应	盐酸氯
卡巴迪	任 教	在 大 多数 小学
巴黎	是 中心 和 所 在	政府
Subhas Chandra Bose	反对	参加 例行 期 末 考试
印度	属	热带 季风 气候 （ “ Am
虚构 的 军情 六 处 特工 詹姆斯邦德	经历	了 “ 疲倦 ， 无聊 ， 沮丧 的 结合
椰子 水	用	如 “ binakol
Paramahansa Yogananda	出生	于 Gorakhpur ， 原名 Mukunda Lal Ghosh
香港 电影	冲出	亚洲
托勒密	是	古 希腊 人 名
墨西哥 城	还 举办	几场 NFL 季前赛
阿尔伯特 · 爱因斯坦	扩展 了 能量 与 物质 之间 的 相互 作用 ， 以 解释	原子 对 能量 的 吸收 和 发射
患者	需要	到 具有 光疗 设备 的 治疗 中心 接受 治疗
画家 Charles L' Eplattenier	画	Charles - Édouard Jeanneret
以南 非洲 最 干旱 的 国家	将 成	为 区域 交通 枢纽
先知 穆罕默德	未强 迫非	穆斯林 信奉 十二什叶 派 伊斯兰 教
第二 次 世界 大战 或 第二 次 世界 大战	缩写	为 WWII 或 WW2
臭氧	可以 去 除	许多 引起 异味 的 化学 物质
斯里兰卡 政府	获得	亚军
甲骨文 系统 公司	收购	Net Suite
这 两 个 迄今 为 止 独立 的 地区	合并	坦桑尼亚
木星	缺乏	明确 的 固体 表面
Guru Baba Dyal Singh	为 施 洗	Pañj Piārē
伊朗 的 革命	推翻 世俗 政权 建立	伊斯兰国
加莱亚佐 · 齐亚诺伯爵	访问	纳粹 德国
亚伯拉罕林肯	攻击	媒体 的 这 种 行为
阿尔巴尼亚	加入	联合 国 人权 理事
尼日尔 河	位	东面 100 多 公里 处 ， 乍得 湖
乔治 · 戈登 · 拜伦	离开	伦敦
动物 遗骸	形成	石油
亚伯拉罕 · 林肯	不会 责怪	自 肯塔基 州 的 玛丽 · 欧文斯
Oracle Systems Corporation	必须 继续 移植	Oracle Systems Corporation 软件
Akshay Kumar	没有	出来 支持
中国 、 维希 法国 、 联合 国	通过	《 世界 人权 宣言
托马斯潘恩	帮助 组织 北美 银行 筹集	资金 供应 军队
的 时间	拥有	Scenic Airways
巴基斯坦	批评	沙特 的 立场
上海	标准 普通 话 发音	浦 东新 区
Aaron Hillel Swartz	后 了解 了 调查 的 细节	在向 FBI 提交 FOIA 请 求
卡尔 · 弗里德里希 · 高斯	不是	一 位 多产 的 作家
蔡 英 文	明显	更温 和
阿道夫 · 希特勒	被 授予	阿道夫 · 希特勒 时期
纳什 控股	包括	华盛顿 邮报
女性	用乳 房夾 以 达到	性 高潮 射精
约翰 ·	亚当斯	既是 虔诚 的 基督 徒 ， 又是 独立 的 思想 家
印度 政府	有	两 次 清关 检查
巴基斯坦	是	美国 的 亲密 正式 盟友
墨西哥 城	还 将	进 一 步 扩展 墨西哥 中部 的 机场 网络
萨蒂	决心 赢得 的	禁欲
病毒	独家 发现	中国 军事 研究 单位
维多利亚 瀑布 的	组合	宽度 和 高度
白宫	命令	联邦 机构 不要 合作
墨索里尼 的 法西斯 分子	领导	由 其中 一 位 贝尼托 · 阿米尔卡雷安德里亚 · 墨索里尼
鲍里斯 · 约翰逊	辞去	首相
富余 的 戈达瓦里 河	是	印度 次 大陆 最大 的 流域
名称	正式 改为	Facebook
查尔斯达尔	文打	个 比方 ， 人类 通过 人工 选择 改造 动物
巴黎 市	拥有	不止 一 条 地下 通道
穆斯林	应 遵循	个人 、 社会 、 政治 和 宗教 生活
澳大利亚	位	于 南纬 9° 和 44°
哥本哈根 市	有	一 个 工业 港口
法语	演進	从 拉丁 语 口語
Guru Tegh Bahadur	是	Guru Tegh Bahadur 的 殉难
德国	迅速 征服	欧洲
Carl Linnaeus	前往 隆德 大学	植物 学家 Johann Jacob Dillenius
Virat Kohli	1988 年 11 月 5 日出生	所 有 的 努力 都 白费 了
The Soho Foundry Watt	起诉	Matthew Boulton
Joseph Priestley)	认为	科学 可以 摧毁 “ 不当 和 篡夺 的 权威
Facebook	包括	嫉妒 和 压力 的 感觉
包 皮环 切术	有关	与 致 癌型 HPV 感染 的 患病 率 降低
Shrimad Rajchandra	代表	Champat Rai Jain
巴黎 市	拥有	广泛 的 道路 网络 ， 包括 高速 公路 和 高速 公路
Thomas Jefferson	没有 回复	15 岁 的 Abigail Smith
Krishna	住 在 Goloka	心爱 的 Radha
哥本哈根市	东临	厄勒 海 峡
英国	回应	以 武力
印度	执政	贾瓦哈拉尔 · 尼赫鲁
奥古斯	参观	了 庞贝古 城 遗址
亚伯拉罕 · 林肯	将 成	感恩 节 假期 的 一 天
巴林	正 在 使用	“ 家庭 法
教育	美化	法西斯 运动 的
众 议院	是	最 重要 的
亚伯拉罕林肯	希望 击败	伊利诺伊 州 参议 员 斯蒂芬 道格拉斯
托马斯 潘恩	住	别处
Srinivasa Ramanujan	无法 专注	于 任何 其他 科目
巴拉圭	实行 民主 共和 制, 採	行政 、 立法 、 司法 三 权 分立
约翰 · 亚当斯	对 汉 含糊 不 清	密尔顿
Joseph Priestley	发现	新 的 “ 空气
伊尔凡 · 汗	主演	的 《 马达阿里
约翰亚当斯	成	一 个 伟大 的 人
丹麦	投降	几 小 时 后
伦敦	发生	这 次 大火
瑞典	命名	芬兰 福音 路德 教会
Rajinikanth Sridevi	是	泰卢 固语 电影 院 的 第一 位 女 巨星
的 独立 印度	主导	国大 党
观世音 菩萨	是	藏 传佛 教 的 重要 本 尊
穆斯林	要 祈 祷	集体
奥萨马 · 本 · 拉登	计划 用	飞机 袭击 新德里 的 一 个 目标
芬兰	是	奥 运史 上 表现 最好 的 国家
面包	食用	在 多 种 温度
父親	得 拿出	一半 供 养 子女
拉玛	被 认为	建造 了 一 座 浮石 桥
马赛	失去	很多 工作
前 总统 巴拉克奥巴马 和 小 约瑟夫 罗宾内特拜登	出生	11 月 20
拜伦 勋爵	计划 进攻	土耳其 控制 的 勒班陀 要 塞
第一 批 欧洲 人	探索	撒哈拉 以南 非洲 最 干旱 的 国家
穆罕默德 · 哈米德 · 安萨里	连任	第二 届
Champat Rai Jain	规定	七 个 补充 誓言 ， 包括 三 个 “ guņa vratas
细菌	有 产生	机物
富士 山 的 山顶	被 用作	修验 道 的 基地
富士 山 的 山顶	是	富士 箱根 - 伊豆 国立 公园 的 一 部分
美国 西部	发起	洲际 弹道 导弹 研究
克里希纳	是	公平
Mount Canopus 或 Canopus Hill	是	一 颗 “ tapu ” 星
亚伯拉罕 · 林肯	发表	了 特别 感人 的 告别 演说
Phoolan Devi	偷窃	从 Samajwadi 党 的 Mulayam Singh Yadav
贫民 窟 的 百万 富翁	引起	强烈 的 轰动
第一 夫人 南 希里根	不会	为了 政治 目的 而 利用
George Bernard Shaw	将 填补	一 个 无 可 争议 的 空缺
湿婆 神	安抚	' Ugra' Narasimha
0	是	1 与 1 之间 的 整数, 也是 偶数
(Rajnath Singh)	联邦 内政 部长	印度
墨西哥	城有	16 个 分区 ， 俗称 行政 区 或 自治 市 镇
俄 语 在 以色列	有	一些 官方 角色
马斯喀特	主	以 贸易 、 石油 、 液化 天然 气 和 港口
埃塞俄比亚 、 肯尼亚 、 尼日利亚 和 利比亚	支持	孟加拉 国 政府
Inter Globe Aviation Ltd.	拥有	六 架 飞机
加拿大 联邦 政府	也是 上 的 一	地球
湿婆	是	湿婆 前妻 的 转世
拉金德拉乔拉 二世	接管	了 安达曼 和 尼科巴 群岛
十八 岁 的	鲁米 在	鲁米 父亲 身边
Joseph Robinette Biden Jr.)	出生	11 月 20
穆罕默德 二世	修缮	该城 的 基础 设施
奥萨马 · 本 · 拉登	发布	了 “ 追杀 令
战争	也 可以 发挥	作用
萧 伯纳	发现	卡尔马克思 的 著作
Joseph Priestley)	的 大	家庭 住 在 利兹 (Leeds) 附
的 人数	成	穆斯林
薑	可導	致胸 口灼 热感 、 脹气 或 噁心
[ [ 苏联	开始	1941 年 6 月 22
1996	是	有线 电视 新闻 网
议院	利用	François Marius Granet 的 成功
马赛	留下	原立 面 的 石 柱 廊 和 柱廊
马赛 城市	属 于	地中 海 气候
意大利	取得	一 个 陆路 进入 巴尔干 半岛 的 跳板
新 的 水库 系统	变成	了 巴黎 市
阿道夫 · 希特勒	清洗	整个 苏联
人民 党 政府	报告 称	共有 296,438 名 印度 农民 自杀
政府	流通	文學 作品 视为 严重 的 煽动 行为
足联	进行 了 比赛	不丹 王国 和 排名 第203 位 的 蒙特塞拉特 之间
苏丹	是 的 统治	马斯喀特
以南 非洲 最 干旱 的 国家	成	第160 个 联合 国 会员
当局	追捕	托马斯潘恩
第一 个 公司	带到	今天 的 浦那
印地 语 Medium	earned	Irrfan Khan
第一 夫人 南希 · 里根	是	担任 美国 总统 职位 年龄 最大 的 人
Radha （ 或 Rādhikā	与 Krishna 密 不可 分	Krishna
班加罗尔	是	班加罗尔 橄榄 球 俱乐部 的 所在
(Srinivasa Ramanujan)	继续 从事 独立 的	数学 研究
萨尔曼拉什迪	出生	英国 作家 改革 计划
媒体	称	Swami Vivekananda
辉瑞	发布 试验 结果	90% 的 抗 感染 有效 性
俄罗斯	安装	新 系统
爱尔兰	是	“ 翡翠 岛
林肯 一 家	迁往	西部
Werner Heisenberg	制定 了 量子 理论	参数 ， 例如 量子 跃迁 的 跃迁 概率
Virat Kohli	命	107
莫卧儿 皇帝 胡 马雍	重新 征服	德里
拜伦 勋爵	被	敌对 的 希腊 派系 的 代理 人围
WT Stearn	指定	Carl Linnaeus
萧 伯纳	获得	奥斯卡 金像 奖
尼禄	保留	对 局势 的 一些 控制
美国 、 英国 和 波兰	试图 对付	纳粹 德国
Swami Vivekananda	读过	John Lubbock 爵士 写 的 一些 书
卢森堡 的 Skype Technologies SA	合作	与 环球 影城 、 迪士尼布偶 、 BBC 和 其他 工作 室
Facebook	将 停止	针对 儿童 的 广告
法律	带来	路德维希 · 范 · 贝多芬
的 超 现实 主义	讽刺	Federico Fellini)
拜伦 勋爵	帮助 编纂 了 《	英 语 亚美尼亚 语 词典
[ [ 世界 经济 论坛	排名	芬兰
细胞	进行	分裂
日本	被 击退	于 9 月 下旬
1863 年 1 月 12 日 – 1902 年 7 月 4	见	马克斯 · 穆勒
人星 山 或 老人 山	容易 看到	由于 海拔 和 大气 折射 的 影响
的 所有 周边 地区	包括	庞贝 遗址
拉达 女神	被 奉为	至 高 无上 的 神灵
巴黎 市	拥有	9,000 多家 餐厅
芬兰	撤退 的 作战	德军
锌	是	人体 必需 的 营养 元素
罗曼波兰斯基	怀疑	李 小 龙
蒂普苏丹	恢复	对 马拉巴尔 的 权力
迪特里希 · 埃卡特	成	阿道夫 · 希特勒
亚伯拉罕林肯	没有	公开 露面
全國	強制 接種	疫苗
恐怖 主义	指	暴力
路德维希 · 范 · 贝多芬	继续	约翰 · 安德烈亚斯 · 斯坦因
亚伯拉罕 · 林肯	喜欢	许多 新 铁路 桥下 的 驳船 冲突
政府	不该 干预	经济
施工	时间	为 1792 年至 1800
Lakshadweep	包括	印度 唯一 的 珊瑚 环礁
理查德凯西	是 国 的 州长	孟加拉
Bidya Devi Bhandari	生	1961 年 6 月 19
澳大利亚	瞄准	Al Noor 清真 寺
另 有 八 到 一千万 人	逃离	巴基斯坦
冬天 的 巴黎	获得	解放
其他 印度 音乐 导演	抄袭	努斯拉特 · 法塔赫 · 阿里 · 汗
柏林	变成	一 座 孤岛
Facebook	除 了 发送 自动 消息 外 什么 也 没做	引入 了 3D 帖子 功能
巴拉圭	曾 受	西班牙
男性	为	50.47%
Mirabilis jalapa	原产 于	干燥 的 热带 地区
Virat Kohli	是	2010 年 ODI 的 印度 领先 得 分手
的 Padma Shri 奖	授予	印度 总统
Subhas Chandra Bose	装	哑
乙炔	是	无色 、 极 易燃 的 气體
印地	是	南 印度 流行 表演 的 通用 语
月球 协会	承认	约瑟夫 · 普里斯特利
墨西哥 城	是	墨西哥 合众 国 的 首都 和 最大 城市
国家 民主 党	历史 上 一直 统治	州
蔡 英 文	获	博士 学位 。 伦敦 大学 法学
现代 加拿大	成	第三 个 国家
Nirmala Sitharaman	加入	人民 党
阿里	击败	叙利亚 总督
硝酸	是	通过 工程
历史 协会	的 全国	(Thomas Paine)
约翰 · 亚当斯	被 迫	接受 正规 教育
瓦特	发明	蒸汽 机
墨西哥 城	繁荣	因 贸易 而
先知 穆罕默德	未 发起	任何 敌对 行动
中国 的 这 一 举动 中国	抓住	印度
Arcturus	可用	于 星座 而非 恒星 的 意义
代表 一 名 受 欺负 的 叙利亚 小学 生 的 英国 律师	起诉	Facebook
Judy Garland)	还能	演唱 灵魂乐 、 蓝调 和 爵士 乐
于 卢森堡 的 Skype Technologies SA	使用	可在 各种 桌面 、 移动 和 视频 游戏 机 平台
圣地亚哥 市和 县	拥有	新兴 生物 技术 产业 的 中心
Virat Kohli	Virat Kohli 打	以 获胜 的 成绩 为
柬埔寨	并	入法 属 印度 支那
人类 火炬	成	Subhas Chandra Bose
亚伯拉罕 · 林肯	参选	以新 联盟 党 的 名义
毛 泽东	拒绝 接受	邓 小平
穆罕默德 阿里真纳	被 任命	为 桑德赫斯特 委员
乔治 · 赫伯特 · 沃克	布什参与	菲律宾 的 行动
帕尔瓦蒂	转世	湿婆 前妻 的
耶稣 受难 日 地震	使	133 人 死亡
Judy Garland)	唱	了 特别 编曲 的
阿尔巴尼亚	分	为 三 个 区域
国际 救世 军 网站	列出	了 俄罗斯 联邦
未来 的 纽约 大 都 会队 总 经理 Brodie Van Wagenen Armstrong	觉得	这 很 有趣
Federico Fellini)	发现	(Kafka) 的 《 变形
巴林	也是	海湾 合作 委员 会 的 创始 成员 之
Adobe Flash	被 用	于 新 的 应用 程序 ， 包括 视频 游戏 和 动画
意大利	丧失	对 北 非 的 控制
西班牙 穆斯林 天文 学家 Ibn Rushd	去	人山 或 老 人山
印度	是	南亚 的 一 个 国家
Ludwig van Beethoven	受洗	17 December 177026 March 1827 ) 奖学 金
Carl Linnaeus)	观察	许多 植物 、 鸟类 和 岩石
乾癣	不 直接 影响	生命
马斯喀特	有	许多 博物 馆
穆罕默德哈米德安萨里	拒绝 透露	更多
印度 国 大 党	获胜	2009 年
澳大利亚	排名 靠前	啤酒 消费
30,000 名 士兵	重组	白俄罗斯
萧 伯纳	是	一 个 孤独 的 声音
人星 山 或 老 人星 山	是	一 颗 绕 极星
日本	被 谴责 后	日本
杰伊瑟尔梅尔	是	印度 拉贾斯坦 邦 杰 伊瑟尔梅尔 县 的 一 个 城镇
Radhika Apte	1985 年 9 月 7 日 出生	萨南达
希姆莱	离开	苏联柏林
Facebook	未能	回应 数据 删除 请求
威廉 佩恩	离开	费城
Nadine	Gordimer) 也	积极 参与 HIV/AIDS 事 业
木星	吸积	质量
阿尼尔 · 卡普尔	还 出演	另外 两 部 印地 语 电影
哈佛 大 四 学生 Cameron Winklevoss 、 Tyler Winklevoss 和 Divya Narendra	起诉	CEO Mark Zuckerberg
Carl Friedrich Gauss)	也花	大量 时间 研究 希腊 原文 的 新约
巴林	来	自 肥胖 流行 病
Carl Friedrich Gauss 的 其中 一	描述 了	Carl Friedrich Gauss
谷歌	承认 复制	37 个 Java 包
拜伦 勋爵	收养	一 个 名叫 哈托 的 九 岁 土耳其 穆斯林 女孩
Rameswaram	音译	为 Ramesvaram, Rameshwaram ) 到 印度 大陆
李 海泉	曾	美国
柬埔寨	可以 提高 可 再 生 能源 治理	项目 的 可 融资 性
Vairocana	是 佛	Dhyani
0	不是	正数 也 不是 负数
奥萨马 · 本 · 拉登	建议	舒拉 委员 会 的
毛 泽东	奠定	中国 共产 党 的 基础
恐怖 主义	主要 是 指	暴力
高通	上诉	至 第九 巡回 上诉 法院
印度	避免 引起	其他 国家 的 担忧
哥本哈根市	成	丹麦 的 首都
路易斯 · 布莱叶	遭受	数周
保險	是 用	確定 的 保費 来 避免 不 確定 的 损失
于 卢森堡 的 Skype Technologies SA	撤回	几 个 第三 方 的 许可
分子	呈	平面 结构
Lakshadweep	也 被 称	为 Laccadives
太阳	会 蒸发	乙烷 和甲烷
路易斯安那 法	是	该省 唯一 的 官方 语言
Mohammad Hamid Ansari	就读	于 圣 爱德华 学校
Viju Shah 的	实际 上 是 通过 使用 来表达钦	Nusrat Fateh Ali Khan
菲律宾 航空	著名	（ 直到 1970
联合 国	代表	由 常驻 代表 团
的 阿拉伯 半岛	界	以 埃及 东部
阿富汗	宣布	从 莫卧儿 帝国 完全 独立
西孟加拉邦	迁入	于 1879 年
莫罕达斯 · 甘地	主张	独立
Subhas Chandra Bose	被 带到	Abad Khan 的 家
林丹	击败	香港 吴 伟
朱 迪加兰	开始	提出 同样 的 疾病 请求
Carl Friedrich Gauss	也 介绍 了 所 谓 的 高斯 对 数含 糊地 讨论	平行 线 的 问题
Subhas Chandra Bose	将重返	Cuttack
独立 后 的 美国	出来	从 英国 殖民
英国	撤离	法国
Chandragupta 的 部长名	叫	Bindusara
向 巴基斯坦 施加 压力	以 改变	巴基斯坦
Facebook	只 是 不 认为 禁止 共享 的 页面	阴谋 论 或 虚假 新闻
Aaron Hillel Swartz	工作	在另 一 家 新兴 的 Y-Combinator 公司
巴西	是	唯一 一 支 参加 这 两 项 比赛 的 南美 球队
赤道 几内亚	承认	与 葡萄牙 的 长期 历史 联系
Microsoft Edge	集成	Microsoft 的 智能 个 人 助理
年轻 的 药剂 师 Asa Griggs Candler	沉 迷	于 吗啡 公司
纳丁 · 戈迪默	帮助	纳尔逊 · 曼德拉 编辑 纳尔逊 · 曼德拉 的 著名 演讲
阿拉斯加	携	民主 党 候选人 Lyndon B. Johnson
英格兰	产生	了 剧烈 的 改變
朱 迪加兰	表演	了 四 个 星期
卡尔林奈	是	一 本 严格 的 植物 学 书籍
57% 的 男性	接受	输精 管切 除术
路易斯安那	这 个 角色 通俗 拉丁	作 为 最 重要 的 外交 和 国际 关系 语言
北美	通过	白俄罗斯 民主 法案
世界 上 第五 个 国家	使用	邮票
吉尔吉斯斯坦	是	中亚 的 内陆 国家
新 成立 的 土耳其 共和	是	一 个 杰出 的 雇主
亚伯拉罕 · 林肯	开始	意识 到 迫切 需要
所有 死者	为	越南
Federico Fellini)	出生	于 1920 年 1 月 20
托马斯 · 潘恩	委托	罗伯特 · 贝尔 印刷 罗伯特 · 贝尔 的 作品
教徒 及 錫克 教徒 难民	逃往	印度
Soho Foundry Watt	被 任命	为 Foreign Associate
姜	用	于 伊朗美食
疫苗	预防	当地 B 型脑 膜 炎球 菌 株
太斯米	奉	至 仁 至 慈 真主 之 名
越过 边境 的 瑞典	成	贵族 、 行政 和 教育 的 主导 语言
前 总统 巴拉克奥巴马	授予	约瑟夫 罗宾内 特拜登 。
前 总统 奥巴马	任命	约瑟夫 · 罗宾内特 · 拜登 为 总统 。
虚构 的 军情 六 处 特工 詹姆斯邦德	被 推定	死亡 和 雇佣 兵 帕特里斯
十八 岁 的 鲁米	有	生命
圣地亚哥 市和 县	增加	210 万 美 元 的 图书 馆 支出
Facebook	允许	用户 发布 非法 或 攻击 性 材料
印度	中失	对阵 澳大利亚 的 七 场 主场 ODI 系 列赛
蔡 英文	有望	出任 民进 党 党委 书记
尼禄	去	冷
患者	占	30% 的 病例
Joseph Priestley)	是	于 这 种 对 整个 人类 的 看法
政府	停摆	多 次
人气	并 没有 吸引	萧 伯纳
伊尔凡 ·	汗致 著名	戏剧 艺术 家
Nusrat Fateh Ali Khan	去世	在 “ Kartoos ” 之前 不久
法国	保护	教皇 朱 塞佩 · 玛丽亚 · 加里波 第
阿布哈兹	不得	不用 俄
O	Umar	强壮 、 健康 、 运动 能 力强 ， 擅长 摔 跤
世界 排名 已跌 至 286 名 的 林丹	有 所 斩获	在 亚洲 锦标 赛
Charles - Édouard	Jeanneret	始用 钢管 制作 椅子
中国	实际 上 否决	现代 孟加拉 国 的 成员
亚伯拉罕 · 林肯	哀叹	辉格党 亚伯拉罕 · 林肯
城市 规划	涉及 优化	土地 利用 、 交通 、 公用 事业 和 其他 基本 系统
人 Antonio Diabelli	保证	Ludwig van Beethoven
虚构 的 军情 六 处 特工 詹姆斯邦德	跟	佣兵 帕特里斯
Charles - Édouard Jeanneret	继续	写作
巴基斯坦	一直 参与	训练 和 武装 地下 激进 组织
斯特拉斯堡 大学	是	路易斯 巴斯德
前 苏联	不复	存在
一 场 为 战争 受害 者 举办 的 慈善 音乐 会	没有 吸引	路 德维希 · 范 · 贝多芬
Srinivasa Ramanujan	制定	定理 使定 积分 更 容易 求解
Radhika Apte	开 始	涉足 浦那 的 剧院
第一 个 到达 印度 共和 国 的 欧洲	是	葡萄牙 探险 家达 伽马
古代 奥义 书 中 提到 的 Krishna 和 Devaki	是	的 精神 本质 和 永恒 的 爱
班加罗尔	拥有	英属 印度 最 古老 的 业余 （ 业余 ） 无 线电 俱乐部
该 公司	推出	Windows 10
穆斯林	将 受到 不 公平 对待	在 独立 的 印度
Virat	Kohli	参加 了 ICC 锦标 赛
美国	开始	希望 萨达姆 · 侯赛 因 会 被 内部 政变 推翻
马萨诸塞 州	选举	约翰 · 亚当斯
路易斯安那 法	形成	了 鲜明 的 地方 特色
Nawazuddin Siddiqui	不会	为 即将 到来 的 项目
臭氧	与 肺部 的 化合 物 发生 反应	， 形成 特定 的 胆 固醇 衍生 代 谢 物
草酸	的	酸 强度 比乙酸 大得 多
以南 非洲 最 干旱 的 国家	在	2014 年 排名 第 19 、 22 ， 2019 年 排名 第 23
意大利	占领	法国 东南 部
Soho Foundry 瓦特	实际 上 并 不是	蒸汽 机
地球	估計	至 少 150 万 公里
文森特 梵高	使用	Viridian
托勒密	大 角星 描述 为	subrufa
可口 可乐	公司	有效 溶解 胃 石
哈马德 国际 机场	是	卡塔尔
卢森堡	的	Skype Technologies SA 数据 中心 超级 节点
英国	占领	新 奥尔良
印度 人民 党 政府	报告 称	1995 年 至 2015 年间 共有 296,438 名 印度 农民 自杀
可口 可乐 公司	屈服	于 抗议
日本	欲 称霸	亚太
复兴 时期	发明	个人 肖像 勋章 等 新形
雕塑	是	宗教 崇拜 的 中心
海德拉巴 州	成	印度 的 一 个 州
第一 夫人 南希 · 里根	将 提出	关于 学校 祈祷 的 宪法 修正
约翰 · 亚当斯	同意	第二 天
第一 夫人 南 希里根	建立 在 以前 限制 努力	核 武器 扩散 的
约翰 · 亚当斯	不 反 对	塞缪尔 · 塔克 船长 驱逐 外星 人 的 企图
犹豫 不决 的 法国	想	要 讲 和
Inter Globe Aviation Ltd.	订购	300 架 空客 A320neo 飞机
林丹	赢得 新西兰 公开	印尼天 才 小 将 乔纳坦克里斯蒂
世界 卫生 组织	继续 提倡 包皮 环 切术	传播 艾滋 病 毒
岛	将 受 管	届
芬兰	保持	不败
乔治赫伯特	沃克布什克服	最初 的 投票 赤字
费城	通俗 地 简称	为 费城 ） 经济
细胞	是	生物 的 基本 单位
巴马 科	位	于 尼日尔 河
未来 的 纽约 大 都 会队 总 经理 Brodie Van Wagenen Armstrong	拒绝	这些 提议
George Herbert Walker Bush	was re- elected	in 1904
莫卧儿 皇帝 沙贾 汗	授予	迪尔马尔 土地
Carl Friedrich Gauss 的 来信	揭示	Carl Friedrich Gauss
亚历山大 大帝	征服	这 座 城市
Windows 10	将 成	微软 有史 以来 最 全面 的 平台
帕克	是 联邦 政府 的 第一 位 国民	加拿大
乔治 · 赫伯特 · 沃克 · 布什	被 广泛 视	为 “ 务实 的 看守 者 ” 总统
Evangelista Torricelli	曾 接受	实验
马克斯 · 博恩	拒绝	皈依
日本	签署	中立 条约
印度	不 想	为 此 摆脱 政治 体制
Joseph Priestley)	接	为 砾 石坑 会 议会 众 讲道 的 任命
西非 国 家马里 的 政府	重点 发展	农业
阿道夫希特勒	被	判 入狱 五 年
意大利	将 继续 肩作 战 以 避免	在 意大利 的 德军 采取 任何 报复 行动
的 时间	获得	不仅 仅是 短期 搜索 过程
伊斯兰	存	与 传统 宗教
今天 的 浦那	座落	在 孟買東 南方约 100 公里
Subhas Chandra Bose	收到	这样 一 封 信
位 於 美国 本土 的 極端 西南 角	紧邻	墨西哥 政府
许多 演讲	写	第一 夫人 南希 · 里根
日本	瞄准	硫磺 岛
官 马克扎克伯格	是	红绿 色 盲
富士 山顶	是	每条 步道 的 第十 站
Windows 10	恢復	类似 Windows Vista 、 Windows 7 的 传统 开始 按钮
伊斯兰 教对	的 割礼 习俗	创世 记 17 章
印度	发行	一 套 两 枚 纪念 币
香港	撥开	雲霧
Guru Nanak	是	一 位 向导 和 老师
苦行 僧湿	遇见	少女 帕尔瓦蒂
报纸	是	印度 发行 量 最大 的 日报 之
李 宗伟	追不	林 丹
蒂普苏丹	出生 的 苏丹法塔赫阿里萨哈布蒂普	是 迈索尔 之虎
托马斯潘恩	描述	美国 总统 乔治 华盛顿
全 世界	有	1 亿 人 将 法语 作 为 母語
旁遮普	也 罗马化	为 Panjāb 或 Panj - Āb
英国	建立	更多 殖民
李 小龙	夺冠	香港
奎师那	是	奥里亚 骄傲 的 象征
逊尼 派 伊斯兰 教 或 逊尼 派	是	原始 信仰 的 完整 和 普遍 版本
歌将	使用 Java 计 算 机 编程 语言	开发 移动 设备 程序
澳大利亚	继续 播放	军 乐
新加坡	分歧	在 许多 政治 和 经济 问题
高通	被	一 家 私募 股权 公司
的 苏联	约瑟夫 · 斯大林 领导	只有 消灭 犹太 人 才能 健康
澳大利亚	跌	至 4/61
Aurobindo Ghose	搬	到 本 地治 里
Ahmet Hamdi Akseki 清真 寺	建	于 安卡拉 罗马 浴场 附近 的 Ulus 区
