colonos romanos	aprendieron	latín.
University of Technology Sydney Business School desde 1994	es	la Universidad de Michigan
la Tierra	mantuvo	la misma cara oculta hacia el fuego central
Facebook	hizo	mensajes automatizados manejaran las solicitudes como comportamiento AJAX
El gobierno del Estado de Connecticut	tiene	la población en Connecticut
Carl Friedrich Gauss	introdujo	los llamados logaritmos gaussianos puntos de vista religiosos
ADN	enrolla	alrededor del otro para formar una doble hélice.
George Bernard Shaw	sería totalmente olvidado	cincuenta años
Lord Byron	era	antagónico con Claire Clairmont.
Honda	tiene	dos empresas conjuntas en China
La Unión Europea	trabaja para mejorar	infraestructuras transfronterizas
el Reino de las Dos Sicilias	liberó	Giuseppe Maria Garibaldi
Indira Priyadarshini Gandhi	intervino directamente	Bangladesh
Estados Unidos	evacuaría a	estadounidenses
las mejoras	que	LibreOffice Online
Bruce Lee	actuó	en un episodio de
Sri Aurobindo	enfrenta	cargos de traición por la conspiración de Alipore
Monte Canopus o Canopus Hill	representó	la ciudad de Eridu
budismo	extendió	desde el norte de la India hasta el Tíbet y Mongolia.
Anaximandro	para	hacerlo
Srinivasa Ramanujan	aprendió sobre la tradición y	hábitos alimenticios particulares
presidente en funciones Donald Trump	no asistirá a	la toma de posesión del sucesor del presidente en funciones Donald Trump
El gobierno del estado de Connecticut	también se conoce extraoficialmente	como "El estado de la nuez moscada".
Champat Rai Jain	es	una de las tradiciones "Śramaṇa" de la India contemporánea.
Carl Linnaeus	para identificar	la verdadera fuente de transmisión de enfermedades
Nero	le había ido bien	en los años previos a la muerte de Calígula.
Japón	optó por centrarse	en un intento tardío
los nerviosos británicos	esperaban	preservar la India unida
Swami Vivekananda	convirtió	uno de los estudiantes más pobres de Swami Vivekananda
Primera Dama Nancy Reagan	había estado	en el cargo
sur de Asia	basados	Campos de entrenamiento
variste Galois	comenzó a	interesarse seriamente por las matemáticas.
Tipu Sultan	nació Sultan Fateh Ali Sahab Tipu	como el tigre de Mysore, bastión de Seringapatam
Nawazuddin Siddiqui	fue	a actuar después de ver una obra de teatro
Akbar me	fui	Kabul
Charles - Édouard Jeanneret	mayoría evitaba	política
Ranchi Municipal Corporation	es la capital del	estado indio
Phoolan Devi	regresó	a la aldea de Behmai, dominada por una casta superior.
El país más seco del África subsahariana	sofocó	un intento secesionista en el noreste de la Franja de Caprivi
Rumi, de dieciocho años,	pasó	cuatro años allí.
guerra	trajo	fuego de los cielos
Ptolomeo	conocía	solo una cuarta parte del Reino Ptolemaico
La Cámara de Representantes	conocida	en holandés como "Tweede Kamer
el gobierno del Reino Unido	a ignorar	derecho internacional
latín	era	el idioma común de la ciencia.
Sachin Tendulkar	descansó	para el torneo trinacional ODI en Bangladesh
el gobierno de Pakistán	logró	una clara ventaja
Carl Friedrich Gauss	aclaró	considerablemente el concepto de números complejos en el camino.
siete atletas	para representar	al Gobierno de la India
Virat Kohli	Soporte	en el capitán Ajinkya Rahane Universal Sportsbiz
los Estados Unidos	recuperan	de la pandemia de COVID - 19 y la recesión en curso
John Adams	no creía	que el servicio regular de la iglesia fuera beneficioso para el sentido moral del hombre.
Las "secuencias diversas",	escribe	Federico Fellini
estaciones de televisión	suelen transmitir	Adhan
Elena Vesnina	ganó	en dos sets
Shanghai	está dividida	en 16 distritos a nivel de condado
presidente Paul von Hindenburg	nombrará a	Adolf Hitler
Virat Kohli	no pudo ganar	un trofeo
20 de abril de 1889-30 de abril de 1945) subordinados	de	Adolf Hitler
la Cruzada bajo Raymond IV de Toulouse	capturó	Ankara
Adolf Hitler	era	un "antisemita confirmado".
un aparato construido	podría poner a prueba	Max Born
Charles - Édouard Jeanneret	dibujó	bocetos de formas posibles
Estados Unidos	seguido	de Rusia y China con el "Continente Insular
los Shaw	para comenzar	George Bernard Shaw
Virat Kohli	superó	1.000 carreras con 205 entradas
el producto de desecho	es	ácido láctico
Nadine Gordimer	mudó	a Johannesburgo
futuro gerente general de los Mets de Nueva York Brodie Van Wagenen Armstrong	autorizada	biografía
Swami Vivekananda	aceptó	Ramakrishna
Tsai Ing-wen	estudió	derecho y comercio internacional
Giuseppe Maria Garibaldi	fue	Nueva York
Musulmanes	a esperar pasivamente	una figura mesiánica
India	fue eliminado	por 315 con Virat Kohli
Lilacs Last in the Dooryard Bloom'd	para elogiar	Abraham Lincoln
Primera Dama Nancy Reagan	apareció	en varias producciones importantes
India	nunca tuvo la intención seria de celebrar	un plebiscito
las cuestiones	relativas	Sri Lanka
Australia	cayó	a 4/61
arqueas	reproducen asexualmente	por fisión binaria, fragmentación o gemación.
Philippine Airlines	voló	aproximadamente 12 millones de pasajeros
George Bernard Shaw	tuvo	éxito como dramaturgo en América del Norte
La palabra	fue introducida	en occidente.
O Umar	por haberle pedido	Abu Lu'lu'a
el sitio de Pompeya	para expandirse	partir de un núcleo temprano
algunos intelectuales afroamericanos, encabezados por Lerone Bennett Jr.	rechazaron	Abraham Lincoln
Kannada	emerge	como el segundo mayor exportador de software en el estado de Mysore
Libia	fue derrotada	en la Guerra Civil Libia
Adolf Hitler	fue	20 de abril de 188930 de abril de 1945) ver
Swami Vivekananda	tomó	el nombre
agricultura	siendo	el sector económico dominante
una India independiente	dominada	por el Congreso
Louis Pasteur	fue elegido	de la Académie Nationale de Médecine
Pakistán Oriental	se convertirá	la potencia dominante del sur de Asia
fútbol asociación	es	el deporte más popular en Baréin
Vacaciones en Storyland	con	Judy Garland
Costa de la India India	oficialmente	la República de la India
John Adams	no vio	la alianza franco-estadounidense
la participación de la Compañía Británica de las Indias Orientales	en el gobierno	la República de la India
Abraham Lincoln	fue asesinado a tiros	por el simpatizante confederado John Wilkes Booth
la Constitución de los Estados Unidos	hizo	emancipación universal y permanente
Eskimo	estrenó	en el Astor Theatre de la ciudad de Nueva York
Albania	reconoce	nueve minorías nacionales o culturales
George Bernard Shaw	escribió	sobre muchos temas
Mimosa pudica	también se cultiva	como cubierta vegetal.
Bharatiya Jana Sangh	es	un monumento a Indira Priyadarshini Gandhi
Bruce Lee	empezó a	nutrirse
Coca - Cola Co.	fue el patrocinador principal de	The Football League
ADN	constaba	de una cadena de cuatro unidades de nucleótidos.
la ciudad de París	fue	el centro de una explosión de actividad filosófica y científica
Abraham Lincoln	fue	menos apreciado en el norte
Adolf Hitler	decidió retrasar	una invasión de la Unión Soviética
John Adams	fue ampliamente ridiculizado	por John Adams
La cumbre del monte Fuji	se utilizó	como base para Shugendō.
Nadine Gordimer	se educó	en una escuela de un convento católico
Adolf Hitler	rebeló	contra esta decisión.
John Adams	accedió a asistir a	un ataque de nervios importante
Slumdog Millionaire	ganó	ocho de diez premios de la Academia
Lin Dan	nació el 14 de octubre de 1983,	oponente Lee Chong Wei produjo una excelente exhibición
Skyfall	será a	menudo deslumbrante, siempre audaz
Nerón	convirtió	al judaísmo para evitar tal retribución
Segunda Guerra Mundial o la Segunda Guerra Mundial	fue, con mucho,	el conflicto más mortífero en la historia de la humanidad.
Facebook	hizo	mensajes automatizados y Twitter para ignorar solicitudes
arqueas	son	importantes en el intestino, la boca y la piel.
Guru Tegh Bahadur	por salvar	una facción de Kashmiri Pandits
Carl Linnaeus	recibió	una beca de la Royal Society of Sciences en Uppsala
Muchos tanzanos educados	también hablan	inglés
Andorra	fue	el país anfitrión de la Final Eight de la Liga Europea 2011
los británicos	capturaron	varios cohetes de Mysorean
Bangalore	genera	unas 3.000 toneladas de residuos sólidos al día
agricultura	empleó	aproximadamente al 80 por ciento de la fuerza laboral
la Guerra Fría	impulsada	por una división ideológica entre el capitalismo y el comunismo
O Umar	vivía	en una simple choza de barro
India	estaba otorgando	permisos especiales de expedición a montañeros y mapas del ejército de los Estados Unidos
Lonely Planet	clasificó	Bangalore
John Adams	accedió a asistir	un ministro
Adolf Hitler	ganó apoyo popular	pangermanismo, antisemitismo y anticomunismo con oratoria carismática y propaganda nazi.
el Abraham Lincoln de mediana edad	afirma no haber controlado	eventos
Jawaharlal Nehru	se llevaría a cabo	tarde
música	es	un generador de ingresos sustancial
William Penn	planeó	Filadelfia
William Shakespeare	relaciona	la poesía con el personaje.
Pakistán	lanzó	varias ofensivas terrestres
Nueva Zelanda	implementó	las restricciones de viaje más severas
Irak	había subido	al puesto 11
Rama	creyendo	un héroe de la literatura épica
Lord Byron	posee	dinero para reacondicionar la flota griega
sulfuro de hidrógeno	es	letal para la mayoría de los animales
Las principales aerolíneas	son	Air India
el Reino de Arabia Saudita	introdujo	reformas administrativas
el Reino Unido	tiene	la obligación
Subhas Chandra Bose	fue	alcalde de Cuttack
Joseph Priestley	dejó	Francia para los nuevos Estados Unidos
Irrfan Khan	fue diagnosticado	con un tumor neuroendocrino
Virat Kohli	regresó	al equipo de cricket de India
Judy Garland	pasó	dos semanas en tratamiento
el reino ptolemaico	convirtió	una provincia romana
Bangalore	convirtió	una fuente de discordia entre dos primos en guerra
Thomas Paine	proporcionó un argumento nuevo y convincente a favor de la independencia al abogar	una ruptura total con la historia.
Walmart	busca	daños punitivos por una pila de varios autos
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	unió	al Cuerpo de Astronautas de la NASA JPL / Cuerpo de Astronautas de la NASA
Evangelista Torricelli	construyó	una serie de telescopios y microscopios simples.
Mahoma	vivió	570 y 632
Abraham Lincoln	asumió	responsabilidad de las tareas
agente ficticio del MI6 James Bond	mata	empleador
Lord Byron	comenzó a buscar	un matrimonio adecuado
China	tenía	aproximadamente seis veces la población de Japón
Paraguay	introdujo	el sistema MERCOSUR (FOCEM) para
madera	también es	mucho más fácil de trabajar que la piedra.
Bengala Oriental	es	una de las áreas más densamente pobladas de la Tierra
folato	encuentra naturalmente	en muchos alimentos.
George Bernard Shaw	evaluó	más de 212 producciones
budismo Theravada	ha enfrentado	varios desafíos y cambios.
David Marshall	ganó	Singapur
John Adams	no esperar	que la independencia pronto se hiciera realidad
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	había trabajado de cerca	en la Base de la Fuerza Aérea de Nellis
Abraham Lincoln	fue incansable	casi cincuenta discursos a lo largo de la campaña electoral
Primera dama Nancy Reagan	ganó	el voto popular
el gobierno del estado de Jammu y Cachemira	reprimió rápidamente una agitación al arrestar	a 294 miembros de Jammu Praja Parishad
Indira Priyadarshini Gandhi	engañó	los Estados Unidos
Juana de Arco	convirtió	una gran heroína de Indira Priyadarshini Gandhi
É variste Galois	entró	el Lycée Louis -le - Grand
Akbar	es hermano de	Muhammad Hakim
Charles: Édouard Jeanneret	había reunido	con muchos de los principales modernistas alemanes y austriacos.
Australia	se le otorgó por error	una licencia de armas de fuego debido a fallas policiales
joyería	desempeñó	un papel importante en el destino de América del Norte
Vishnu	es dios de	hindúes
berlineses orientales y los alemanes orientales	no pudieron	Alemania Oriental
Carl Friedrich Gauss	también introdujo	la llamada casa de logaritmos gaussianos.
el Reino Unido	estableció	el rey Hachemita
Luxemburgo	Skype Technologies SA con sede	en Windows RT
Johannes Kepler	dio	una explicación alternativa de los pitagóricos
Oh Señor,	mira	Swami Vivekananda
Facebook	mueve	la Corte Suprema de India contra la decisión
distrito de Warangal	se dividió	para facilitar el control administrativo.
John Adams	no	la lealtad de los miembros del gabinete de Adams
Facebook	coordinó	comportamiento inauténtico
Irrfan Khan	interpretó	la versión adulta de Piscine
Facebook	introdujo la función Publicaciones 3D para permitir	la carga de activos 3D interactivos
Finlandia	publicó	el plan Forest 2000
Australia	implementó	fortificación de la harina de trigo
Swami Vivekananda	llamó	atención sobre el alcance de la pobreza en India
un ejército al mando del conde de Rochambeau	para ayudar	los Estados Unidos de América
idioma ruso en Israel	está	usando el alfabeto latino
las Naciones Unidas	lanzaron	un ataque masivo contra la Hungría ocupada por los alemanes
Subhas Chandra Bose	fue trasladado	a un submarino japonés
Abraham Lincoln	respetaba	las creencias de los demás.
Boro	representa	solo el 0,001 % de la masa de la corteza
Pakistán	administró	conflicto de Azad Cachemira
Marsella	acoge	cada año el Mondial la Marseillaise de pétanque Sailing
oeste de los Estados Unidos	inició la investigación de misiles balísticos	en 1946 con el proyecto RTV - A-2 Hiroc
Thomas Paine	también fue	miembro de la junta parroquial.
William Shakespeare	siendo	popular hoy
India	registró	130/4 en la final contra Sri Lanka
Finlandia	ocupó	primer lugar en el Informe Mundial de la Felicidad
una variedad de fuentes,	incluyendo	los Estados Unidos
Elena Vesnina	dijo	que Elena Vesnina "se sintió engañada
Ricardo Ffrench - Davis Gabriel Boric	está	medio de especulaciones de ser nombrado Ministro de Hacienda
Tierra	elegida más larga	administración comunista
Alemania Oriental	concedió	visitas
Skyfall	no	se va a llamar
Charles - Édouard Jeanneret	adoptó	el seudónimo
arqueología o arqueología	puede considerarse	tanto una ciencia social como una rama de las humanidades.
Facebook	registró	usuarios afectados por el exploit de los usuarios
la ciudad y el condado de San Diego	fueron sede de	Base Naval de San Diego
amigos	querían encontrar a	Joseph Priestley
Aaron Hillel Swartz	descargó	documentos judiciales
Phoolan Devi	reunió	a algunas niñas del pueblo
Sulfuro de hidrógeno	para aumentar	los niveles de glutatión
Clitoria ternatea	crece	como una vid o enredadera
Carl Linnaeus	describió	alrededor de 100 plantas previamente no identificadas
acetileno	puede contener	impurezas tóxicas como trazas de fosfina y arsina.
William Penn	nombrado	Filadelfia
AR Rahman	recurre	a la música clásica india
Charles - Édouard Jeanneret	siendo	una figura controvertida
estudiantes	dieron	George Bernard Shaw
ese período	fue	mucho antes del movimiento de derechos civiles
jengibre	se llevó	con los austronesios en los viajes austronesios como plantas de canoa.
los británicos	trasladaron	el acantonamiento británico a Bangalore
Federico Fellini	ganó	cuatro
boro	Se añade	a los aceros al boro.
Singapur	tiene	un clima de selva tropical
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	llamó	Janet Elizabeth Shearon
Windows10	comprime automáticamente	archivos del sistema
un estado tapón entre una India independiente	se convertiría	Pakistán Occidental
Nadine Gordimer	recogió	el premio James Tait Black Memorial por
carretera	une	Albania
sudeste de Europa	entró	funcionamiento
maestro de Taekwondo Jhoon Goo Rhee	enseñó	Bruce Lee
George Bernard Shaw	había unido	la sociedad
Judy Garland	comenzó	una gira de conciertos de cuatro meses por Gran Bretaña e Irlanda
Subhas Chandra Bose	trabajó	con Jawaharlal Nehru por la independencia
Ludwig van Beethoven	escribió	en respuesta
Max Born	está emparentado	con los juristas Victor Ehrenberg
Poder ejecutivo	no tiene	Andorra
Federico Fellini	se encargó	de filmar las escenas sicilianas en Maiori
California	establecerá	un retiro para estudiantes de Vedanta
Bengala Oriental	es	una de las áreas productoras de arroz más grandes de la Tierra
Nerón	no se casó con Poppaea	Sabina hasta
Nicolás II	trató de	Finlandia
Luxemburgo	sede	Skype Technologies SA
El promotor de la gira de Garland, Mark Herron,	había vencido	Judy Garland
The Washington Post	informalmente	las turbas blancas
Una escena común	involucra	al Krishna mencionado junto con Devaki en el antiguo Upanishad.
O Umar	había permitido	reasentamiento de Jerusalén
Corporación Municipal de Ranchi	testigo	un aumento repentino en la población
India	conocida	como Modera (" mōdara '' en cingalés
Abraham Lincoln	tenía	comprensión insuficiente de la palabra
una persona	para revocar	facebook
Tailandia	irrespeta	derecho internacional
Avalokiteśvara	retratado	en diferentes culturas como hombre o mujer
John Adams	no dio	un discurso ante la Cámara y el Senado
fuerzas	han ayudado a estabilizar	Timor Oriental
John Adams	estaba	planeando
Subhas Chandra Bose	fue	al Japón imperial
O Umar	tenía	- piel blanca
Educación	para enseñar	estudiantes a ser obedientes a la Italia fascista
Nusrat Fateh Ali Khan	convirtió	el jefe del partido familiar qawwali
Adolf Hitler	dejó	Linz para vivir y estudiar bellas artes en Viena.
el excedente de agua del río Godavari	tiene	un extenso curso
el sistema operativo	es	el sucesor directo de Windows 8.1
Paraguay	para volver	a
Berlín	es el centro de	moda.
Nirmala Sitharaman	Educación	de Madrás y Tiruchirappalli
el sitio de Pompeya	era	una ciudad rica
musulmanes	viven	en el sur de Asia.
George Bernard Shaw	murió	a la edad de noventa y cuatro años de insuficiencia renal
Luxemburgo	sede	Tráfico internacional de Skype Technologies SA
ciudades estratégicas en Japón	destinadas a dominar	Asia y el Pacífico
Charles - Édouard Jeanneret	único edificio	en los Estados Unidos
gripe española	fue	muy variable
La Organización Mundial de la Salud	elevó	el brote italiano a
el territorio en disputa,	incluido	el valle de Cachemira
verde	representa	paraiso
familiares	aseguraron	George Bernard Shaw
George Bernard Shaw	tiene	elementos de George Bernard Shaw
primer ministro Nehru	mantuvo	el tema de Cachemira
India	la República de la India	cultura
Donald Trump	fue	el más dispuesto a dar entrevistas al aire
ley	ha sido diversamente descrita	como una ciencia y el arte de la justicia.
Constantinopla	fue proclamada	capital del Imperio Romano
Ciro el Grande	conquistó	Babilonia
Phoolan Devi	era	la única mujer en la pandilla de Devi.
Charles - Édouard Jeanneret	de menospreciar	la población musulmana de Argelia
Judy Garland	elegirá	un nombre más atractivo
la ciudad y el condado de San Diego	registraron	un ingreso familiar promedio
Sudáfrica	interpretó	el sistema de mandatos como una anexión velada
InterGlobe Aviation Ltd.	tenía	seis aviones
los Estados Generales de los Países Bajos La Haya	reconoció	John Adams
Pather Panchali	marcó	entrada de Satyajit Ray en el cine indio
Radhika Apte	protagonizó	la primera serie de comedia de ciencia ficción de la India
verde	se encuentra	en las banderas de casi todos los países islámicos
Albania	ocupó el puesto	84.
George Bernard Shaw	se	escéptico sobre el Partido Laborista Independiente
Carl Linnaeus	fue	un libro estrictamente botánico
Libia	firmó	el tratado de la ONU sobre la prohibición de las armas nucleares
George Bernard Shaw	fue contratado	para escribir críticas de libros y música para los periódicos de Londres.
Microsoft Corporation	lanzó	Skype Empresarial para Mac
presidente ruso Vladimir Putin	expresó	sinceras condolencias
Ranchi Municipal Corporation	es	una de las principales ciudades industriales del este de la India.
Coca - Cola Co.	presentó	otra campaña de fidelización
Virat Kohli	fue galardonado	el premio al hombre del partido
Omán	es también	hogar de Galfar Engineering
Delta Air Lines	volará	McDonnell Douglas MD - 11 jets
misionero y explorador David Livingstone	llegó	lago Malawi
India	migró	ejecución religiosa en Qajar Irán
Radhika Apte	interpretó	el papel de Brinda Roy Menon
ejército de Pakistán	estaba bien organizado	en las dos alas del este y oeste de Pakistán.
Ricardo Ffrench - Davis Gabriel Boric	fue inhabilitado	para ejercer cargos públicos por cinco años
Coca - Cola Co.	basó	en imágenes de mujeres jóvenes elegantemente vestidas
Swami Vivekananda	alcanzó	mahasamādhi
Lord Linlithgow	es virrey de	India
gente	de entrar	Nueva Delhi
India	registra	un lugar en la semifinal
Skype Technologies SA, con sede	no está	diseñado específicamente para frustrar
Inglaterra	ganó	5
acetileno	posee	el grupo puntual D.
sulfuro de hidrógeno	también se produce	en la boca.
India británica	convierte	el primer estado en obtener una pista atlética azul en la India
Nexus 5	estuvo	disponible para pre-pedido desde Google Play Store
Eliezer Ben-Yehuda	se propuso desarrollar herramientas para hacer	hebreo
la Universidad de Calcuta	estaba	al alcance
Pakistán Oriental	lanzó	Operación Grand Slam
O Umar	es	como un usurpador del derecho de Ali al Califato Rashidun
escuela	es Chica de	Georgia
Habiendo	ganado	el US Open
Irak	no se retiró	de Kuwait el
Croacia	especuló	en 2015
Anil Kapoor	ganó	reconocimiento en Bollywood con el drama de Yash Chopra
Arcturus	llamado	Ana-tahua-taata-metua-te-tupu-mavae
La Galería Nacional de	es	Singapur
Oracle Systems Corporation	alquiló originalmente	dos edificios en un gran complejo de oficinas
Jihad	refiere	a la lucha armada contra los incrédulos
Bahrein	tiene	inviernos suaves y veranos muy cálidos y húmedos.
Libia	estaba	bajo ocupación aliada
Primera Dama Nancy Reagan	entra	historia como una jugadora fuerte y dramática
10 de diciembre	es	el aniversario de la adopción de la Declaración Universal
Mao Zedong	fue	por militantes líderes prosoviéticos de la muerte del partido
Bangalore	produjo	alrededor de 2.500 toneladas métricas de residuos sólidos
El procedimiento de circuncisión	llamado	khitan
Francia	floreció	con la Comédie-Française
la moderna república de la India	anexó	Gujarat
primera dama Nancy Reagan	fue elegida	gobernadora del estado de California
Ludwig van Beethoven	fue	de Karl Alois
Primera Dama Nancy Reagan	invadió	Granada
España	tuvo	que vadear o sumergirse en aguas poco profundas
Albert Einstein	creía	que la mecánica cuántica subyacente debe ser una teoría
Facebook	hizo que	mensajes automatizados exhibieran más tendencias narcisistas
Australia	trabajó	como entrenador personal en Brenton Harrison Tarrant
La palabra	puede referirse	no solo al cuello.
Virat Kohli	anotó	58
la Confederación	para hundir	Virginia
Ricardo Ffrench - Davis Gabriel Boric	representó	los estudiantes como senador universitario de 2010 a 2012
Max Born	leyó	un artículo titulado
Lin Dan	derrotó	Lee Chong Wei
musulmanes	creen	la dirección de la Kaaba
George Bernard Shaw	dijo	la reunión
Charles - Édouard Jeanneret	construyó	el Pabellón Esprit Nouveau
El ministro de Chandragupta, Chanakya,	decidió salvar a	Bindusara.
arqueas	forman	parte de la microbiota de todos los organismos
Sir Donald George Bradman	convirtió	Australia
canciller Boris Johnson	optó	por convocar elecciones anticipadas
El país más seco del África subsahariana	ha sido habitado	desde tiempos prehistóricos por los pueblos San, Damara y Nama.
el planeta Júpiter	protegió parcialmente	al Sistema Solar interior del bombardeo cometario
Abu Bakr	para celebrar	el verdadero sucesor de Mahoma
Tanzania	convirtió	una república democrática bajo un presidente ejecutivo
Carl Linnaeus	comenzó a trabajar	para Carl Linnaeus
Alaska	carece	ferias del condado
Avalokiteśvara	tiene	108 avatares
O Umar	fue	inflexible y cruel al oponerse a Mahoma
Carl Friedrich Gauss	negó	a pagar
InterGlobe Aviation Ltd.	anunció	una oferta pública inicial el 19 de octubre de 2015
las provincias del sur del imperio mogol	separaron para convertirse	el estado de Hyderabad
Pakistán Oriental	perdió	220 tanques
Peshawar	conocido	en Punjab
China	vetó efectivamente	la membresía del actual Bangladesh
Bangladesh	creado	partir de provincias de mayoría musulmana
Qualcomm	presentó	una oferta pública inicial
sudeste asiático marítimo	llega	a Europa con el comercio de especias
blanco	fumante	Ácido nítrico
India	reportó	bajas de unas 3.000
Oracle Systems Corporation	entregó	a clientes comerciales de Oracle Systems Corporation
Finlandia	oficialmente la República de Finlandia	la Ley de la Iglesia
Escocia e Irlanda del Norte	permanecerán	en la Unión Europea
Virchand Gandhi	estuvo	en Sudáfrica
John Adams	accedió a asistir	el 31 de enero y el Senado estatal controlado por los federalistas
Adolf Hitler	obtuvo	poderes absolutos como presidente del partido
Filadelfia	que pasar	por un largo período de ajuste
Subhas Chandra Bose	pasó	por Madrás
Thomas Paine	regresó	a los EE.UU.
el gobierno del estado de Jammu y Cachemira	hecho ayudó	la vista gorda
la actualización	fue lanzada	el año
Japón	había conquistado	la provincia de Henan
Subhas Chandra Bose	viajará	a Japón
Albania	contribuyó	a apoyar los esfuerzos aliados
Max Born	fue dado	temprano después de un ataque de asma en enero de 1907
Abraham Lincoln	asoció	con Joshua R. Giddings en un proyecto de ley
Dos	habían disparado directamente	a la multitud.
Francia	no	mencionó Tromelin específicamente
Filadelfia	servirá	como capital de la colonia de Pensilvania
varios avataras de la Diosa	para ser	Vishnu
el Gobierno de Bangladesh	a adoptar	políticas favorecidas por los Estados Unidos
una India independiente	para ayudar	Subhas Chandra Bose
O Umar	buscó facilitar	la importación de grano
el gobierno de Sri Lanka	fue cedido	al Imperio Británico
Cuauhtémoc Cárdenas	para gobernar	Ciudad de México
Bruce Lee	estuvo fuertemente influenciado	por el campeón de boxeo de peso pesado Muhammad Ali.
huracán Sandy	llegó	al gobierno del estado de Connecticut
Las mayores fuentes de visitantes internacionales por país	son	Australia
califa Abu Bakr	recitó	estos versos del Corán 20:14
La Cámara de Representantes	está compuesta por	63 (anteriormente 60) miembros del Parlamento
Mao Zedong	fue	por líderes militantes prosoviéticos del pensamiento del partido
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	solo falta	Joshua Trees
El país más seco del África subsahariana	recibió	financiación de la Agencia de los Estados Unidos para el Desarrollo Internacional
Aurobindo Ghose	descubre	que la vida ya está presente en la materia
Qualcomm	cobra	tarifas irrazonables o participa en una competencia desleal por patentes obligatorias
Polonia	sería neutralizada	para
oeste de los Estados Unidos	opera	405 misiles balísticos
la ciudad de París	era conocida	como
Srinivasa Ramanujan	irrumpió	en Srinivasa Ramanujan
Qatar	jugó	un papel importante en la Guerra del Golfo
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen Armstrong,	dañó un Aeronca	regreso a Lafayette
Islam	practicó	el desdén de la población con la corrupción entre la élite hausa.
Karl Heinrich Marx	usó	inglés
los británicos	capturaron	colombo
Lesotho	está implementando oficialmente	un programa para la educación primaria gratuita
el excedente de agua del del río Godavari	izquierdo	margen
Thimphu	comenzó	redactar la Constitución del Reino de Bután en 2001
Bruce Lee	involucrado	en Hong Kong
industrialización	extenderá	a los pueblos.
Adolf Hitler	en el uso	hombres de Adolf Hitler para ganar victorias de propaganda que las militares
Homo erectus	convirtiéndose	una "sabana equipada con herramientas"
ex presidente Barack Obama	parecía	incómodo haciendo a veces
Pakistán	resolverá	todas las cuestiones pendientes
vasectomía	no es	un factor de riesgo para el cáncer de próstata
una carta	nunca llegó	Tipu Sultan
la ciudad de París	fue	fundamental para el desarrollo del romanticismo en el arte
Dios	tiene	realidad absoluta y última en contraste con el estado ontológico inferior
El profeta islámico Mahoma	comenzó	predicar en La Meca
Bengaluru Beast	es subcampeón de 2017	India
Ciudad de México	también es	parte de la Unión de Ciudades Capitales Iberoamericanas
1980	es la guerra de	Irak
Abraham Lincoln	comenzó	a ejercer la abogacía bajo John T. Stuart
Virat Kohli	atrapó	la siguiente pelota de Shadab Khan
Louis Pasteur	repitió	experimentos de Lazzaro Spallanzani
Louis Pasteur	para sostener	la jeringa
la ciudad de Copenhague	resistió	el asedio de los suecos bajo Carlos X
fascismo	busca solucionar	problemas económicos, políticos y sociales
café	es	una parte integral del estilo de vida albanés.
Australia	también ha visto	un aumento en la xenofobia, el racismo y la islamofobia.
no hay moneda	para pagar	Judy Garland
Adolf Hitler	aseguró Adolf Hitler	Francia por mar desde Dunkerque ni Francia
Pueblo Revolt	es la secuela de	Sudáfrica
Bruce Lee	participa	en un combate de combate de contacto completo contra un oponente
Monte Canopus o Canopus Hill	dado	el nombre
Louis Pasteur	había vacunado con éxito	50 perros rabiosos
Irrfan Khan	murió	al día siguiente de una infección de colon.
Bangalore	experimentó	rápido crecimiento
Joseph Priestley	a	los más'avanzados
Facebook	adquirió	la aplicación de cumplidos anónimos tbh
Adolf Hitler	recibió	trato amistoso de los guardias
Virat Kohli	fue reemplazado	por el seleccionador jefe Chetan Sharma como capitán de India ODI
Tanzania	tiene	dos compañías ferroviarias
Srinivasa Ramanujan	aprendió sobre la tradición y puranas	pujas
matemáticas	se desarrollen	a un ritmo acelerado en Europa Occidental
Nadine Gordimer	organizó a unos 20 escritores importantes para contribuir	ficción corta para
Thomas Paine	continuó	trabajando en "La edad de la razón".
el sultán otomano Abdul Hamid II	otorgó	Louis Pasteur
Amnistía Internacional	celebra	Día de los Derechos Humanos
Virat Kohli	decidió jugar	para Virat Kohli
Estudiantes del profesor William Hastie	visitan	Ramakrishna
ahora y	ayuda	Thomas Paine
John Adams	no	firmó la ley que establece la Biblioteca del Congreso
Internet	gran impacto	la economía, la sociedad y la cultura mundiales
el Reino de Arabia Saudita	colocó	Bahrein
Kirguistán	busca establecer	un patrón de crecimiento constante a largo plazo
Abraham Lincoln	fue director de campaña en	1860
Francia	cedió	casi todas las colonias de Francia en la América del Norte británica
Adobe Flash	también se utiliza	para crear interfaces y HUD para videojuegos en 3D.
oficialmente el Estado de Libia	extiende sobre	Libia
Albert Einstein	interpretó	la hipótesis cuántica de Max Planck Planck
futuro gerente general de los Mets de Nueva York, Brodie Van Wagenen	Armstrong, dejará	Essex
Singapur	tiene	relaciones diplomáticas con más de 180 estados soberanos
