रोम	के योग्य है	शहर
सलमान रुश्दी	का जन्म ब्रिटिश लेखक के रूप में हुआ	घर वापसी के बाद
चंद्रगुप्त के मंत्री	ले गए	बिंदुसार को
समाचार पत्र	प्रकाशित	कोट्टायम टाउन से
में पूर्वी बंगाल	गया	का नाम बदलकर पूर्वी पाकिस्तान कर दिया
फोलेट	जाना जाता है	को विटामिन बी और फोलासीन के नाम से
जॉन एडम्स	योजना बना रहे थे	करने की
भारत	निकाल दिया	ने अग्नि वी को
ग्रेटर लोप नूर	है	जंगली बैक्ट्रियन ऊंट का घर
अंकुरण	सुधार करता है	कच्चे प्रोटीन, गैर-प्रोटीन नाइट्रोजन और कच्चे फाइबर सामग्री में
तापमान	बढ़ते	शरीर के
लुई पाश्चर	ने उबले हुए द्रव को फ्लास्क के साथ	में गर्म हवा
के पश्चिम में मिनेसोटा	समर्थन	काले भालू, मूस और गोफर की स्वस्थ आबादी का
अंकारा	है	में समशीतोष्ण महाद्वीपीय जलवायु
बौद्ध धर्म	है	भारत से निकला प्राचीन धर्म और दर्शन
मलावी गणराज्य	विभक्त है	एक रेलमार्ग द्वारा
मुजफ्फरपुर टाउन	आसपास	के जिले
ब्रूस ली	प्रशिक्षण भी दिया गया था	को बॉक्सिंग का
ब्यूटेन	बनाता है	उच्च ऑक्टेन संख्या वाले कई शाखित अल्केन्स
रावी नदी	भी कहा जाता है	लहौर नदी
सैन डिएगो शहर और काउंटी को	कहा जाता है	संयुक्त राज्य सरकार क्राफ्ट बीयर कैपिटल
एक ईश्वर	देखा जाता है	को एक व्यक्तिगत ईश्वर के रूप में
विराट कोहली	सफल रहे	मामूली
फासीवादी इटली	बनाया	ने औद्योगिक पुनर्निर्माण संस्थान
पश्चिम	पाकिस्तान अब सिर्फ	से पाकिस्तान का अलगाव है
पाकिस्तान	बंटेगा	छोटे-छोटे टुकड़ों में
पूरे जर्मनी	हो गया	फिर से एक
क्षेत्र	बन जाएगा	सऊदी अरब
लेवी 9	संपर्क किया	ने बृहस्पति ग्रह से
कार्ल लिनिअस	का जन्म हुआ था	राशल्ट में
विलियम बटलर यीट्स	मनाने की असफल कोशिश की	ने जॉर्ज बर्नार्ड शॉ को
मोहम्मद हामिद अंसारी	हैं	पश्चिम एशिया के विद्वान
स्लमडॉग मिलियनेयर	है	में स्पष्ट रूप से हास्यास्पद दंभ
अफ्रीका	दर्ज किए गए	में 251,000 से अधिक नए कोविड-19 मामले
भारत	हार गया	अगला मैच बांग्लादेश से
मेक्सिको	जोर दिया	ने भूमि सुधार के बजाय उत्पादकता बढ़ाने पर
पैराग्वे	हार गया	1870 में
ओ उमर	बन गया	एक व्यापारी
कई अन्य कलाकारों	ने भी उद्धृत किया है	नुसरत फतेह अली खान को
पोलैंड	सुरक्षित करेगा	नाजी जर्मनी के पूर्वी हिस्से को
की इच्छा	आज्ञा मानने	ईश्वर की
पीटर मुथारिका	के उत्तराधिकारी हैं	घाना
कोट्टायम टाउन	है	की समुद्र तल से औसत ऊंचाई
नीरो	अत्याचार करता है और उन्हें मार डालता है	पैमाने पर ईसाइयों पर
फोलिक अम्ल	आवश्यक हैं	शरीर के विभिन्न कार्यों के संपादन के लिए
युवा ड्रगिस्ट आसा ग्रिग्स कैंडलर को	मजबूर किया गया	भी पेय बेचने के लिए
रंगभेद के बाद दक्षिण अफ्रीका	अर्जित किया	ने नेल्सन रोलीहलाला मंडेला (जन्म रोलीहलाला मंडेला)
नवाजुद्दीन सिद्दीकी	आएंगे	कंगना रनौत की फिल्म 'टिकू वेड्स शेरू' में नजर
जॉन एडम्स	लाइन का खंडन	- बाय-लाइन हैमिल्टन
वाला	का रहने	ऑस्ट्रेलिया
पुणे	है	पुणे के भगिनी शहर
माओ जेडोंग	संरक्षित किया गया है	को एक ऐतिहासिक संग्रहालय के रूप में
कार्ल लिनिअस	खत्म करने की कोशिश की	ने कई जाने-माने दिग्गज जीवों में से कुछ को
Facebook	ने	स्वचालित संदेशों को AJAX व्यवहार के रूप में अनुरोधों को हैंडल किया
ओ उमर	लिया	ने उहुद की लड़ाई में भाग
ब्रूस ली	होने के लिए	एशियाई व्यंजनों की विविधता के लिए एशियाई व्यंजनों के प्रशंसक
जॉन एडम्स	भाग लेने के लिए सहमत हुए	पाँच की एक समिति में
अब्राहम लिंकन	ने	संयुक्त राज्य अमेरिका को बचाए रखने का प्रयास किया
ऑस्ट्रेलिया	संलग्न है	एक आतंकवादी कृत्य में
जॉन एडम्स	निंदा करनी शुरू कर दी	ने क्रांतिकारियों को बर्बर और अत्याचारी कहकर उनकी
महात्मा गांधी	लिखा	ने उत्तर
सुभाष चंद्र बोस	खदेड़ने में	ने अंग्रेजों को
सुभाष चंद्र बोस	भी थे	अखबार के संपादक
इक्वेटोरियल गिनी ने	वैध बनाकर जवाब दिया	को सभी राजनीतिक गुटों के साथ संवाद को
अठारह वर्षीय रूमी ने	कहा जाता है कि	वहां चार साल बिताए थे
श्रीलंका	ने	भारतीय क्रिकेट टीम के का दौरा किया था
थॉमस पेन	निधन हो गया	का 72 वर्ष की आयु में
त्साई	इंग-वेन	को पीएच.डी. लंदन विश्वविद्यालय से कानून में
अलास्का	वित्तपोषित करने के लिए	राज्य सरकार के कार्यों को
हीट स्ट्रोक	प्रस्तुत करता है	पर भटकाव के संयोजन से अधिक के हाइपरथर्मिया के साथ
जॉर्ज हर्बर्ट वॉकर बुश	जीत हासिल की	ने दक्षिण कैरोलिना और 17 में से 16 राज्यों में
जॉन एडम्स	हस्ताक्षर नहीं करेंगे	कांग्रेस के पुस्तकालय की स्थापना करने वाले कानून पर
मेलबर्न की भीड़ ने	परेशान किया	जूडी गारलैंड को
इवेंजेलिस्टा टोर्रिकेली	ने प्रयोग किया	पारा
एसिटिलीन	नहीं होता है	में गलनांक
कार्ल फ्रेडरिक गॉस	पेश किया	ने गुस्से में छोड़े गए तथाकथित गॉसियन लघुगणकों को
एसिटिक एसिड	देने के लिए	LiCHCOLi
कार्ल फ्रेडरिक गॉस	प्रस्तुत किए	ने तीन अन्य प्रमाण
कनेक्टिकट राज्य की सरकार	सीमाबद्ध है	दक्षिण में लॉन्ग आइलैंड साउंड द्वारा
सिंगापुर	भाग लेगा	जी20 प्रक्रियाओं में
अब्राहम लिंकन	शामिल होने के लिए	उन्मूलनवादियों में
कैनाल डी ल'ऑर्कक ने	प्रदान किया	पेरिस शहर
निर्माता रेमंड चाउ	जगाने के लिए	ब्रूस ली को
बैंगलोर	है	मैसूर पठार के केंद्र में
ग्रेनेडा	का कोडनेम	ऑपरेशन अर्जेंट फ्यूरी है
फिर	पीछे चल रहे हैं	भी रामकृष्ण के
हू वॉन्ट्स टू बी ए मिलिनेयर	अच्छा करेगी	प्रतिष्टित ऑस्कर में
अल्बानिया	है	बोरियल साम्राज्य का हिस्सा
राष्ट्रपति फ्रैंकलिन डी. रूजवेल्ट	स्थापित किया	ने औपचारिक नाम
सर विंस्टन	के नेता हैं	चर्चिल ब्रिटेन
अरबी भाषा	का अर्थ	महान" या बड़ा होता है
नारियल का दूध	बनाने के लिए	नारियल दूध पेय
नवाजुद्दीन सिद्दीकी	जन्म	19 मई 1974) प्रसिद्धि
ऑस्ट्रेलिया	हासिल किया	ने ब्रेंटन हैरिसन टैरंट से एक और हथियार
अरब पड़ोसियों	दिया	ने ओमान
लॉर्ड बायरन	भेजा	ने 14 वर्षीय निकोलो जिराउद को
इराक	का प्रतिनिधि है	क्वेकर संयुक्त राष्ट्र
तीनों हैं	मिलते	स्काईफॉल से
इरफान खान	ने काम किया था	अश्विन कुमार की शॉर्ट फिल्म में
फ़िनलैंड	ऐतिहासिक	रूप से स्वीडन का एक हिस्सा
बांग्लादेशी राष्ट्रवाद	समर्थित	भारत
एडॉल्फ हिटलर	जगह ली	ने पार्टी अध्यक्ष एंटोन ड्रेक्सलर की
खसरा	फैला	हुआ था
संयुक्त राज्य	अमेरिका के बाद	रूस और चीन "द्वीप महाद्वीप" के साथ हैं
फिलाडेल्फिया	शामिल है	में शैलियों की एक विस्तृत श्रृंखला
संयुक्त राज्य अमेरिका	अखंडनीय	शाश्वत्
जूडी गारलैंड	काम करने के लिए	लास वेगास में
Torricelli की हवा की परिकल्पना के समुद्र ने	नेतृत्व किया होगा	शायद इवेंजेलिस्टा Torricelli का
रोनाल्ड रीगन	किया था	ने 1980 में
युद्ध	आवश्यक था	लिए सभी जर्मन वासियों का सहयोग
कोसोवो गणराज्य	शामिल हुआ था	186 वें देश के रूप में
तंजानिया	का एक पक्षकार है	रोम संविधि
नवगठित तुर्की गणराज्य ने	स्थानांतरित कर दिया	नवगठित तुर्की गणराज्य को अंकारा की ओर
जातीय बिहारी समुदाय ने	समर्थन किया था	पाकिस्तान का
जॉर्ज हर्बर्ट वॉकर बुश	हार गए	फिर से चुनाव
सोवियत संघ के पास	थी	खतरे को दूर करने में मदद करने के लिए एक परमाणु पनडुब्बी
डायथाइल ईथर	है	एक सामान्य प्रयोगशाला एप्रोटिक विलायक
जॉर्ज बर्नार्ड शॉ	अनियमित रूप से काम किया	ने मकई व्यापारी के रूप में
ब्रिटिश भारत	कार्य करता है	मिर्च, कपास और तंबाकू के निर्यात के लिए एक प्रमुख केंद्र के रूप में
इटली	के पहले राष्ट्रपति	इसाईस अफवेर्की
दुर्गाचरण दत्ता	दादा	स्वामी विवेकानंद
सम्राट अकबर	प्रतिबंध लगा दिया	ने पर्यूषण के जैन त्योहार पर जानवरों की हत्या पर
हिंदू	है	धर्म में कोई सनकी आदेश नहीं
अंग्रेजों ने	पालन किया	"इनर लाइन" नामक एक नीति का
मुअज्जिन ने	लगाया मुअज्जिन को हाथ लगाया	ने अधन
मेक्सिको सिटी	भी प्रदान करेगा	केंद्रीय मेक्सिको के हवाई अड्डे के नेटवर्क को अतिरिक्त विस्तार
जिनदत्तसूरि	के विद्वान हैं	चंपत राय जैन
भारत	स्वीकार करे	युद्धविराम
इटली	था	में संक्रमण
हारून हिलेल स्वार्ट्ज	था	सिर्फ 'एक और नवजात वाई-कॉम्बिनेटर फर्म' से कहीं अधिक
थॉमस पेन	बेच दिया	ने थॉमस पेन (जन्म थॉमस पेन) को
संस्कृत	रोशन हुई	आईएनएस पर
बैंगलोर	है	में ब्रिटिश भारत का सबसे पुराना एमेच्योर (हैम) रेडियो क्लब
Nexus 5	शुरू हो गया है	को Android 5.1 "लॉलीपॉप" अपडेट मिलना
विराट कोहली	है	जन्म: 5 नवम्बर 1988 के एक बेटी
क्वालकॉम	दावा	ने WCDMA आवश्यक पेटेंट के 38 प्रतिशत के मालिक होने
फिलाडेल्फिया	वोट किया है	ने डेमोक्रेटिक
सुभाष चंद्र बोस	पहुंचे	विमान से बर्लिन
Windows10	सपोर्ट करता है	यूनिवर्सल ऐप्स को
एडोल्फ़ हिटलर	ने	जर्मन सांद् को भंग कर दिया
जूडी गारलैंड	निदान किया गया था	को तीव्र हेपेटाइटिस का
कोपेनहेगन शहर में	हैं	विभिन्न प्रकार की खेल टीमें
द्वीप के अधिकांश लोग हैं	बोलते	मलयालम
जॉर्ज बर्नार्ड शॉ	दौरा किया	ने हॉलीवुड का
पूर्वी बंगाल	हैं	में कम से कम 241.1 मिलियन लोग
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	चले जाएं	यूरोप
कंबोडिया	विकसित करता है	एक प्रभावी नियामक ढांचा
पेरिस शहर	प्रशासित है	"कॉन्सिल डे पेरिस" द्वारा
डेट्रोइट	थे	खोजकर्ता जुआन रोड्रिग्ज कैब्रिलो
इक्वेटोरियल गिनी	बढ़ गया है	तक
बांग्लादेश सरकार कर रही है	कम	भू-रणनीतिक प्रभाव को
अंग्रेजों ने	घोषणा की	चैथम द्वीप की
मैक्स बोर्न	गया	वहां
प्रथम महिला नैन्सी रीगन	बदल दिया	ने अमेरिकी राष्ट्रपति पद को
चार्ल्स - एडौर्ड जीनरेट	प्रवेश किया	ने ला-चॉक्स-डी-फोंड्स में नगरपालिका कला विद्यालय में
एसिटिलीन	है	एक ईंधन और एक रासायनिक बिल्डिंग ब्लॉक के रूप में
कार्ल लिनिअस	माना जाता है	को आधुनिक पारिस्थितिकी के संस्थापकों में से एक
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	गया	को यूरी गगारिन कॉस्मोनॉट ट्रेनिंग सेंटर का दौरा दिया
नाइट्रिक अम्ल	है	रंगहीन द्रव
पाकिस्तान	नहीं था	आलोचना के लिए तैयार
मैक्स बोर्न	विकसित किए	ने स्थिरता स्थितियों के लिए समीकरण
जॉर्ज बर्नार्ड शॉ	आह्वान किया	ने वास्तविक विचारों और सच्चे पात्रों के नाटकों का
बहरीन की खाड़ी करती है	अलग	कतर को
जॉन एडम्स	शपथ ली	ने संयुक्त राज्य अमेरिका के दूसरे राष्ट्रपति के रूप में पद की
राधिका आप्टे	निभाई	ने लक्ष्मी सूरी की भूमिका
ईश्वर	है	अकाल और निरंकार
सोहो फाउंड्री वॉट को	सामना करना पड़ा	अक्सर नर्वस सिरदर्द और अवसाद का
एडॉल्फ हिटलर	खेती के	हाफेल्ड में
यूनाइटेड स्टेट्स हाउस ऑफ रिप्रेजेंटेटिव्स ने	खारिज कर दिया	अनिवार्य और विवेकाधीन कार्यक्रमों के लिए फंडिंग में कटौती के समझौते को
इज़राइल में रूसी भाषा	उपयोग करते हुए	लैटिन वर्णमाला का
रंग दे बसंती	प्रशंसित	ही में समीक्षकों द्वारा
परमहंस योगानंद	उपयोग किया	ने `` गुरु अंग्रेजी '' के रूप में वर्णित एक तकनीक का
फिलिस्तीन के ब्रिटिश जनादेश ने	मान्यता दी	हिब्रू को
विराट कोहली	का औसत	45.28 का रहा
स्वामी	विवेकानंद नियमित	रूप से शारीरिक व्यायाम, खेलकूद और संगठित गतिविधियों में
स्लमडॉग मिलियनेयर	पहुंच गया	नंबर 1 पर
भारतीय जनता पार्टी सरकार	आने	एक "सौहार्दपूर्ण समाधान के लिए
में वाहनों की संख्या पुणे से	अधिक हो गई है	पुणे
विराट कोहली	बनाए	ने 6 मैचों में 47 की औसत से 235 रन
के वर्ष	बाद	युद्ध के
जॉन एडम्स	नहीं बने	युद्ध और आयुध बोर्ड के प्रमुख
फ्रांस	रक्षा की	ने राजनीतिक हार के रूप में पोप की
लक्षद्वीप	प्रबल हुआ	लक्षद्वीप में
अरब सागर	मिलने के बाद	सिंधू नदी से
अरबिंदो घोष	स्थान पर हैं	250 प्रतियोगियों में से 11वें
फिलाडेल्फिया	बाहर कर दिया गया था	को चौथे स्थान पर मियामी से
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	ढूँढना जरूरी था	को नया रास्ता
इंटरग्लोब एविएशन लिमिटेड	थी	भारत में सबसे अधिक लाभदायक एयरलाइन
डेल्टा एयर लाइन्स	स्थान पर है	69वें
जॉन एडम्स	से शुरू नहीं करेंगे	ब्रेंट्री में पीसफील्ड में खेती फिर
यूनाइटेड स्टेट्स आर्मी	छोड़ दिया	ने सिक्किम
ओ उमर	है	कुश्ती मैचों में भाग लिया
मैक्स बोर्न	इस्तेमाल किया था	ने मैक्स बोर्न में मेट्रिसेस का
बैंगलोर	जाना जाता है	तौर पर बेंगलुरु () स्वच्छता प्रक्रिया के रूप में
उप-सहारा अफ्रीका पश्चिमी सीमा में सबसे शुष्क देश	है	अटलांटिक महासागर
ग्रीस	शामिल हुआ	1981 में
यूके सरकार ने	आदेश दिया	सभी मनोरंजन प्रतिष्ठानों को बंद करने का
फिजी	अनुभव किया	ने 1960 और 1970 के दशक में तेजी से विकास की अवधि का
स्टालिन की मौत ने	मिटा दिया	डेंग शियाओपिंग को
जापान	करेगा	अलास्का में अलेउतियन द्वीप समूह पर कब्जा करने के लिए मजबूर
गैरी बेकर	प्रस्तुत किया	ने सामाजिक अंतःक्रियाओं का एक आर्थिक सिद्धांत
बौद्ध	शामिल करता है	धर्म "अनत्ता" के आधार को
कनेक्टिकट राज्य की सरकार	होगी	एक नीली राज्य
पोम्पेई की साइट	नहीं थे	में अन्य रोमन शहरों के पैमाने पर बड़े स्मारक
पगड़ी	है	सिर पर बांधा जाने वाला परिधान या पहनावा
विद्या देवी भंडारी	चुना गया	राष्ट्रपति
आधुनिक इराक़	भी	खाड़ी युद्ध में
जेट एयरवेज	शुरू करने के बाद	परिचालन
फूलन देवी	आत्मसमर्पण करेगी	केवल मध्य प्रदेश पुलिस के सामने
मोहम्मद जिया उल हक	के राष्ट्रपति हैं	पाकिस्तान
शब्द	उधार	लिए कुछ हिंद आर्य भाषाओं में उपयोग किए जाते हैं
मुहम्मद अली जिन्ना	घोषणा की	ने एक मंच से
प्रथम महिला नैन्सी रीगन	अधिकृत किया	ने लीबिया के खिलाफ बल प्रयोग को
कनेक्टिकट राज्य सरकार के	थी	पास एक निवेश - केवल आयकर प्रणाली
इटली	नेतृत्व में	बेनितो मुसोलिनी के
भविष्य के न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग	थे	एक सक्रिय बॉय स्काउट
तंजानिया	आधिकारिक तौर पर संयुक्त गणराज्य तंजानिया	एक 2019 वन परिदृश्य अखंडता सूचकांक औसत स्कोर 7.13/10
कोट्टायम शहर	जाना जाता है	को किले के नाम से ही
अमेरिकी सरकार ने	तैयार करना शुरू कर दिया	तालिबान को उखाड़ फेंकने के लिए अमेरिकी सरकार के सशस्त्र बलों को
विराट कोहली	खेलने के लिए साइन किया	ने राजस्थान रॉयल्स के लिए
अंकारा	बर्खास्त कर दिया था	को मिस्रियों ने
सुभाष चंद्र बोस	को क्षय	रोग हो गया था
कार्ल लिनिअस	थे	केवल उस वर्ष की सर्दियों के लिए
चंपत राय	हैं	जैन सामायिक
अंकारा	बन गया	नव स्थापित तुर्की गणराज्य की राजधानी
एडॉल्फ हिटलर	आग्रह किया	ने ब्रिटेन के समक्ष त्वरित कार्रवाई का
कोयले	ले ली	की जगह कोक ने
मुंबई	के बड़े भाई सलीम	ने बॉलीवुड स्टार अमिताभ बच्चन का ऑटोग्राफ लिया
लक्ज़मबर्ग-आधारित स्काइप टेक्नोलॉजीज एसए	विफल करने के लिए	यातायात विश्लेषण को
भारत	प्राप्त हुई	को स्वतंत्रता
ओरेकल सिस्टम्स कॉर्पोरेशन	सरकारी अधिकारियों को रिश्वत देने के लिए	के कारोबार
उत्तरी अमेरिका	थे	में लगभग 39 लाख बौद्ध
दक्षिण अफ्रीका	जारी रखा	ने गुरिल्ला युद्ध
रेफरल अस्पताल	का राष्ट्रीय है	थिम्पू
इरफान खान	निभाई	ने शीर्षक भूमिका
भारत और पाकिस्तान के पंजाब क्षेत्र	उपयोग करते हुए	1947 की परिभाषा का
स्वामी विवेकानंद	छोड़ी	ने एक वक्ता के रूप में एक बड़ी छाप
संयुक्त राज्य सरकार को	अवरुद्ध कर दिया गया था	सैन डिएगो शहर और काउंटी के अंदर
इस्लाम	हिस्सा है	नगर पालिका की आबादी का लगभग 10%
भगवान ब्रह्मा	भेंट दी	ने हिरण्यकशिपु को
विराट कोहली	शुरुआत की	ने 2016 की
शब्द	है	ग्रीक से
सिंगापुर	आधिकारिक तौर पर रिपब्लिक ऑफ	सिंगापुर पीयर है
जोसेफ प्रिस्टले	स्वीकार किया गया था	को 1766 में
प्राचीन उपनिषद में देवकी के साथ वर्णित कृष्ण को	आमतौर	पर देवी लक्ष्मी के साथ
रॉबर्ट कोच	उपेक्षा की	ने लुई पाश्चर की
उत्तरी आयरलैंड	रहकर	यूरोपीय संघ सीमा शुल्क संघ में
ऑस्ट्रेलिया	था	युवा
स्काईफॉल	उनका बचपन का घर है	स्कॉटिश हाइलैंड्स के गेमकीपर किंकेड
वाला दूसरा संयुक्त राज्य नौसेना का जहाज	वहन करने	अब्राहम लिंकन को
अल्बानिया	स्वागत किया	ने जॉर्ज डब्ल्यू बुश का
कॉफी	है	अल्बानियाई जीवन शैली का एक अभिन्न अंग
अंडोरा देश	है	यूरोप का एक देश
ओसामा बिन	लादेन ने व्यक्तिगत	रूप से संयुक्त राज्य अमेरिका के राष्ट्रपति बिल क्लिंटन की हत्या की साजिश रची
प्रथम युद्ध	हुआ था	पूर्व जम्मू और कश्मीर रियासत को लेकर
उर्वरक	बढ़ाया	ने उत्पादक क्षमता को
मोर्स कोड	बन गया	दुनिया में टेलीग्राफी की प्राथमिक भाषा
क्वालकॉम	व्यक्त किया था	ने अपील करने का इरादा क्वालकॉम ( )
अरबी प्रायद्वीप	निभाता है	महत्वपूर्ण राजनैतिक भूमिका
मेकर पत्रिका	स्थान दिया	ने फेडेरिको फेलिनी को
तंजानिया	है	गरीबी में 187 देशों में से 159वें स्थान पर
पुणे	विकसित होने वाला शहर है	भारत का सबसे तेज
सुभाष चंद्र बोस	कटक में बड़े पैमाने पर विरोध प्रदर्शन किया	ने "होलवेल स्मारक" को हटाने के लिए
श्रीनिवास	रामानुजन ने स्वतंत्र	रूप से लगभग 3,900 परिणाम संकलित किए (ज्यादातर पहचान और समीकरण
लुइसियाना फ्रेंच	फैल गया	उत्तरी अमेरिका में
जोसेफ प्रिस्टले	भी प्रकाशित की	ने द इंपोर्टेंस एंड एक्सटेंट ऑफ फ्री इंक्वायरी
श्रीनिवास रामानुजन	की मृत्यु	1920 में हुई
फिलाडेल्फिया	थी	में एक मजबूत रिपब्लिकन राजनीतिक मशीन और एक आत्मसंतुष्ट आबादी
डीएनए	कॉइल	एक डबल हेलिक्स बनाने के लिए एक दूसरे के चारों ओर
15 वर्ष और उससे अधिक आयु के किर्गिस्तान के 1,854,700 निवासी धाराप्रवाह	बोलते हैं	रूसी भाषा
मैक्स बॉर्न	बने	नेचुरल फिलॉसफी के टैट प्रोफेसर
स्कॉटिश सरकार ने	छोड़ दिया	यूरोपीय संघ
औस्ट्रालोपिथेकस अफ़रेन्सिस	थे	दो प्राणी शाखों का पूर्वज
जानवरों के लिए एनेस्थेटिक्स	प्रभावित कर सकते हैं	मिमोसा पुडिका को
नीरो	पूरी की थी	ने 10-घोड़ों की रथ दौड़
नादिन गोर्डिमर	थी	की एक बेटी
क्लोरोफिल	की अनुमति केवल	कुछ दवाओं और कॉस्मेटिक सामग्रियों में है
अठारह वर्षीय रूमी	बन गए	एक इस्लामी न्यायविद
समुद्री दक्षिण पूर्व एशिया	के आसपास	के क्षेत्र
तंजानिया	प्रतिबंध लगा दिया है	ने तांत्रिकों के अभ्यास को रोकने की कोशिश करने पर
पोम्पेई	है	ब्रिटिश बैंड बैस्टिल का 2013 का गीत
मुसलमानों	पछाड़ दिया	ने हिंदुओं और सिखों को
किर्गिस्तान	अपनाएगा	अधिक उदार रुख
वाला शासन	कम करने	लुडविग वैन बीथोवेन को
फर्स्ट लेडी नैन्सी रीगन	कार्य किया	ने कैलिफोर्निया राज्य के 33वें गवर्नर के रूप में
श्रीनिवास रामानुजन	निधन हो गया	का 32 वर्ष की आयु में
नादिन गोर्डिमर	था	ज़ारिस्ट रूस के शरणार्थी के रूप में पिता का अनुभव
एसिटिक अम्ल	है	4.75 pK मूल्य के साथ एक कमजोर अम्ल
कानून	दूर करने के लिए	लोगों और रीच के संकट को
रिकार्डो फ़फ़्रेंच - डेविस गेब्रियल बोरिक	पसंद	ने इसके बजाय एक लेखक बनना
माउंट कैनोपस या कैनोपस हिल	है	पुलस्त्य का पुत्र
बांग्लादेश देश ने	स्थापना की थी	एक फिल्म डिवीजन की
लॉर्ड बायरन	उठा	एक सुबह
लॉर्ड बायरन	अत्याचार करने के रूप में	को आयरिश लोगों पर
Oracle Systems Corporation	विश्वास करता है	पूर्ण प्रकटीकरण में
जोसेफ प्रिस्टले	की बहन हैं	बच्चों के लेखक अन्ना लेटिटिया ऐकिन
17वीं शताब्दी का फ़्रांस	अग्रणी	आर्थिक गतिविधियों के लिए
विशेष रूप से ब्रिटेन और फ्रांस	में प्रवेश करने के लिए	कपास
विराट कोहली	खड़े हैं	कप्तान अजिंक्य रहाणे यूनिवर्सल स्पोर्ट्सबिज में
कूर्म	का सामना कूर्म से	क्षीर सागर के मंथन के बाद
मुसोलिनी के फासीवादी	करने का प्रयास करते हैं	जनसभाएं
तुर्की	दर्ज की	ने 25,000 श्रमिकों की निकासी
भारत देश	है	एक लोकतांत्रिक गणराज्य
वर्ष में	2005	सेरेना जमीका विलियम्स में दूसरी बार नंबर 1 स्थान पर रहीं
के बिडेन परिवार	बीच	जो बिडेन
पुणे	है	नए उपनगर
चीन	रोक नही पाए	जापान को
कोपेनहेगन शहर में	हैं	कई हैंडबॉल टीमें
राम	का एक नेता है	हिन्दू किसानों
कार्ल लिनिअस	को एक नए आविष्कार	वर्गीकरण की
अबू बकर	कहा है	उच्च-रैंकिंग सलाहकारों से
विराट कोहली	खड़ा था	112 पर
रूस	रद्द करने की धमकी भी दी थी	ने डील
रिकार्डो फ्रेंच - डेविस गेब्रियल	शामिल हुए	बोरिक चैंबर ऑफ डेप्युटी में
चंद्रगुप्त के मंत्री चाणक्य	होंगे	बिन्दुसार
जापान	सामना करना पड़ा	को दक्षिण पूर्व एशिया में उलटफेर का
Adobe Flash	अनुमति देता है	11, 22 और 44.1 k Hz की नमूना दरों की
पुणे	से जाना जाएगा	को पुनावाड़ी के नाम
भारतीय जनता पार्टी सरकार	दोष देने के बजाय	गिरोहों को
जवाहरलाल नेहरू	नी	नेहरू
विराट कोहली	बनाए	ने 200 रन
लूनर सोसाइटी ने	मान्यता दी	जोसेफ प्रीस्टले को
बाल गंगाधर तिलक	के कार्यकर्ता हैं	भारतीय स्वतंत्रता
भारत	स्थित है	भारतीय टेक्टोनिक प्लेट के ऊपर
कार्ल लिनियस	रहते हैं	रईस परिवार के कार्ल लिनियस के साथ
विराट कोहली	का भी नाम था	ऑल टाइम क्रिकइन्फो में
यूरोपीय	था	संघ तीन प्रमुख राजनीतिक दलों के घोषणापत्र में
अंकारा	जाना जाता है	को एंसीरा और अंगोरा के नाम से
खुमैनी के तहत इस्लामी गणराज्य ईरान	होने के लिए	एक लोकतांत्रिक गणराज्य
विराट कोहली	थे	पहले सेवन वेस्ट दिल्ली क्रिकेट अकादमी का हिस्सा
बहरीन के शासक अल खलीफा शाही परिवार	आधिकारिक तौर साम्राज्य	पर बहरीन
न्यूयॉर्क मेट्स के महाप्रबंधक ब्रॉडी वैन वेगेनन आर्मस्ट्रांग रोजर्स	थे	के उपाध्यक्ष
हिब्रू	के लिए इस्तेमाल किया जाने वाला	इस तरह के उद्देश्यों
पूर्वी बंगाल	था	यूरोपीय लोगों द्वारा सबसे अमीर देश के रूप में
चार्ल्स - एडौर्ड जीनरेट	प्रतिक्रिया व्यक्त की	ने विशेष रूप से
