కనెక్టికట్ రాష్ట్రం	కేంద్రంగా ఉంది	తుపాకీ తయారీకి
షేక్ ముజిబుర్ రెహమాన్	అరెస్టు చేయబడ్డాడు	25/26 మార్చి 1971 రాత్రి
ప్రత్యామ్నాయ సిద్ధాంతం	సంబంధించిన	బహ్రెయిన్‌కు
మౌంట్ ఫుజి శిఖరం	గుర్తించబడింది	జాతీయ ఉద్యానవనంగా
సూర్యుడు	తిరుగుతాడు	భూమి ద్రవ్యరాశి చుట్టూ
అరబిందో ఘోష్	బయలుదేరాడు	ఇంగ్లండ్ నుండి ఇండియాకు
జేమ్స్ వెబ్ స్పేస్ టెలిస్కోప్	కూడా వారసురాలేనని చెప్పవచ్చు	స్పిట్జర్ అంతరిక్ష టెలిస్కోపుకు
బంగ్లాదేశ్ దేశం	సాధించింది	మొత్తం బాక్సాఫీస్ వసూళ్లు
అడాల్ఫ్ హిట్లర్	ప్రారంభించాడు	భారీ పునర్వ్యవస్థీకరణ ప్రచారాన్ని
ఢిల్లీ	ఉంది	మొఘల్ సామ్రాజ్యానికి రాజధానిగా
Qualcomm	సమీకరించింది	ఈ క్రమంలో $3.5 మిలియన్ల నిధులను
ఫిన్లాండ్	మారింది	మొట్టమొదటి ఐరోపా రాజ్యంగా
పరాగ్వే	మారింది	పెరిఫెరల్ కాలనీగా
ఆకుపచ్చ	కూడా పరిగణించబడుతుంది	కాంతి మరియు అస్పష్టత మధ్య మధ్యస్థ రంగుగా
కెప్టెన్ అమరీందర్ సింగ్	ముఖ్యమంత్రి	పంజాబ్
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	గెలుచుకున్నారు	కరోలినా మరియు 17 రాష్ట్రాలలో 16
అడాల్ఫ్ హిట్లర్	సేవించడం మానేశాడు	మద్యం
ప్రథమ మహిళ నాన్సీ రీగన్	ప్రారంభించింది	డ్రగ్స్ ప్రచారంపై యుద్ధాన్ని
నియాండర్తల్	అంత్యక్రియల	సంకేతార్థక ఖననం
లూయిస్	గెలుచుకున్నాడు	అల్హంబర్ట్
పోలీసులు	ఇవ్వలేదు	ఈ ఆరోపణలపై
భారతదేశం	సాధారణంగా	చాలా బిజీగా ఉంటుంది
జార్జ్ బెర్నార్డ్ షా	సమర్థించారు	జాతి సమానత్వాన్ని
యుద్ధం	జరిగింది	బంగ్లాదేశ్ విముక్తి యుద్ధం యొక్క చివరి రెండు వారాలలో
రాధికా ఆప్టే	1985 సెప్టెంబర్ 7న జన్మించిన	తొలి చిత్రం
చార్లెస్ - ఎడ్వార్డ్ జీన్నెరెట్	ప్రభావితం	వాస్తుశిల్పులు మరియు పట్టణవాదులను
అసాధారణమైన ప్రాణాంతక ఇన్ఫ్లుఎంజా మహమ్మారి	మొదటిగా	1918 మార్చి 4
జాన్ ఆడమ్స్	నిరాకరించలేదు	మౌనంగా బాధపడటానికి
విరాట్ కోహ్లీకి	లభించింది	మ్యాన్ ఆఫ్ ద మ్యాచ్
మావో జెడాంగ్	భద్రపరచబడింది	ఒక చారిత్రక మ్యూజియంగా
లూసియానా	ఫ్రెంచ్	రెండు అధికారిక భాషలలో లూసియానా ఫ్రెంచ్ ఒకటి
బ్రిటిష్	స్వీకరించారు	క్యారెట్ మరియు కర్రను
త్సాయ్ ఇంగ్-వెన్	జన్మించారు	1956 ఆగస్టు 31న
లార్డ్ బైరాన్	నిర్మించాడు	"ది గియార్, ది బ్రైడ్ ఆఫ్ అబిడోస్‌తో సహా అనేక రచనలను
గవర్నర్ జియోఫ్రీ నార్త్‌కోట్	ప్రకటించారు	హాంకాంగ్‌గా
అడాల్ఫ్ హిట్లర్	మొగ్గు చూపాడు	శాటిలైట్ స్టేట్ ఆలోచనకు
శాన్ డియాగో నగరం మరియు కౌంటీ	ప్రకటించాయి	మొదటి US నగరంగా అవతరించేందుకు ప్రణాళికలను
ఫేస్‌బుక్	పడిపోయింది	18 ఏళ్ల చరిత్రలో తొలిసారిగా
నెల్సన్ మండేలా	మాజీ అధ్యక్షుడు	దక్షిణాఫ్రికా
డెల్టా ఎయిర్ లైన్స్	తెచ్చింది	బ్యాగేజ్ అలవెన్స్ విధాన్ని అందుబాటులోకి
ఫూలన్	దేవి	మూడు వారాల
స్వామి వివేకానంద	వేదం బోధించారు	శుక్ల - యజుర్ -
ప్రథమ మహిళ నాన్సీ రీగన్	నియమిస్తారు	అంతర్జాతీయ న్యాయస్థానానికి మొదటి మహిళను
బ్రహ్మ	ఆవాహన	నీటిలో సమస్త తీర్థాలను
రిపబ్లిక్ ఆఫ్ నమీబియా	పేరు	ప్రపంచ దేశాలలో లో రెండవ అత్యల్ప జనసాంద్రత గల దేశంగా
సుభాష్ చంద్రబోస్	నటించారు	చెవిటి మరియు మూగగా
లుడ్విగ్ వాన్ బీథోవెన్	వయసు	40
కార్ల్ లిన్నెయస్‌కు	కొత్త ఆవిష్కరణ	వర్గీకరణలు
ఫిన్లాండ్	ఎదుర్కొంది	తీవ్రమైన కరువును
ఫిలడెల్ఫియా	పడిపోయింది	100,000 నివాసితులకు 16 హత్యలకు
భవిష్యత్ న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్ ఆర్మ్‌స్ట్రాంగ్	వెళ్లాడు	దక్షిణాన నెల్లిస్ ఎయిర్ ఫోర్స్ బేస్‌కు
హైడ్రోజన్ సల్ఫైడ్	కళంకం కోసం	రాగి మరియు వెండితో సహా వివిధ లోహాలపై
విరాట్ కోహ్లీ	డేటింగ్ ప్రారంభించాడు	బాలీవుడ్ నటి అనుష్క శర్మతో
తైమూర్ లంగ్	చేపట్టాడు	చెంగిజ్ ఖాన్ లా ఘోరమైన దండయాత్రలు
బెంగళూరు	మారింది	మైసూర్ రాష్ట్రానికి రాజధానిగా
ఫూలన్ దేవి	అండర్ ట్రయల్ ఉండిపోయింది	గా జైలులోనే
బ్రిటిష్	స్వాధీనం చేసుకున్నారు	మిగిలిన దీవుల పరిపాలనను
విష్ణువు	సంహరించాడు	గజగజాన్ని
అడాల్ఫ్ హిట్లర్	ఆలస్యం చేయాలని నిర్ణయించుకున్నాడు	సోవియట్ యూనియన్‌పై దాడిని
చిన్న ఆఫ్రికన్ దేశం మలావి	ప్రారంభించింది	"వ్యవసాయ ఇన్‌పుట్ సబ్సిడీ ప్రోగ్రామ్‌ను
అబ్రహం లింకన్	పనిచేశాడు	ప్రపంచ నిరాశలను చూడడానికి ఒక సాధనంగా
ఏమిటి	అంటే	దక్షిణ భారతదేశం
నగరం	కోపెన్‌హాగన్	ఫోటోమారథాన్‌ను కనిపెట్టింది
É variste Galois	వహించాడు	ఒక నిరసనకు నాయకత్వం
మరొక ప్రధాన సమస్య	ఎదుర్కొంటున్న	దేశం
హిందూమతం	కలిగి ఉంది	మతపరమైన - తాత్విక దృక్కోణాల విస్తృత కుటుంబాన్ని
ప్రథమ మహిళ నాన్సీ	రీగన్	కాలిఫోర్నియా ప్రతిపాదన 6ను బహిరంగంగా వ్యతిరేకించారు
కార్ల్ ఫ్రెడరిక్ గౌస్	కూడా పరిచయం	చిన్నతనంలో హాజరైన గాస్సియన్ లాగరిథమ్‌లను
అంతర్గత మతపరమైన చట్టం	నియంత్రించే	క్యాథలిక్ చర్చిని
గోదావరి నది	జన్మించింది	మహారాష్ట్ర లోని నాసిక్ దగ్గరలోని త్రయంబకంలో
మధ్య వయస్కుడైన అబ్రహం లింకన్	ఓడించాడు	జార్జ్ బి మెక్‌క్లెలన్‌ను
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	విజయం సాధించారు.	టెక్సాస్ టెక్సాస్‌లోని 7వ కాంగ్రెస్ జిల్లాకు జరిగిన ఎన్నికల్లో
బ్రున్స్విక్ డ్యూక్	పంపాడు	ఫ్రెడరిక్ గాస్‌ను
చక్రవర్తి రాజగోపాలాచారి	వ్యతిరేకించి జైలుకి వెళ్ళాడు	నాగపట్టణం దగ్గర్లోని వేదారణ్యం అనే ప్రాంతంలో ఉప్పు పన్నును
స్వామి వివేకానంద	కలిశారు	ఐరిష్ మహిళ మార్గరెట్ ఎలిజబెత్ నోబెల్‌ను
కాంగ్రెస్ అధ్యక్షురాలు సోనియా	గాంధీ	సూపర్ ప్రధాని
అరబిందో ఘోష్	రాశారు	గ్రీకు తత్వవేత్త హెరాక్లిటస్‌పై సుదీర్ఘ వ్యాసం
మాజీ అధ్యక్షుడు బరాక్ ఒబామా	జూనియర్ అవార్డును అందుకున్నారు.	జోసెఫ్ రాబినెట్ బిడెన్
మాస్కో	మోహరించింది	రక్షణకై ఈ వ్యవస్థను
క్లోట్రిమజోల్	బంధిస్తుంది	ఎర్గోస్టెరాల్ మరియు ఇతర స్టెరాల్‌ల బయోసింథసిస్‌ను
నవాజుద్దీన్	కనిపించనున్నారు	"జోగిరా సరా రా రా"లో
అండోరా	అయ్యారు	190వ సభ్యుడు
యూదు కార్యకర్త ఎలియేజర్ బెన్-యెహుదా	పునరుద్ధరించడం ప్రారంభించాడు	హీబ్రూను
అల్బేనియా	కలిగి	14.7% శాతంతో 4 వ అత్యల్ప నిరుద్యో గ శాతం
కోడలు కమలా నెహ్రూ	అమలు పరచింది	ప్రణాళికను
తూర్పు	తీరం	వేడి, తేమతో కూడి ఉంటుంది
ఆధునిక ఇరాన్	ఉంది	దాడిలో
హిందూమతం	కలిగి	ఆధ్యాత్మికత మరియు సంప్రదాయాలపై విభిన్న ఆలోచనలను
ఒరాకిల్ కార్పొరేషన్	చేస్తుంది	ఆన్‌లైన్‌లో లిబ్రేఆఫీస్
É వేరిస్టే గాలోయిస్	అయ్యాడు	బూర్గ్-లా - రీన్స్ మేయర్
లిబ్రేఆఫీస్	ఆన్‌లైన్	ప్లాట్‌ఫారమ్ సాఫ్ట్‌వేర్
రెండవ ప్రపంచ యుద్ధం లేదా రెండవ ప్రపంచ	యుద్ధం	70 నుండి 85 మిలియన్ల మరణాలు సంభవించాయి
విచీ ఫ్రాన్స్	సంతకం	నాజీ జర్మనీతో యుద్ధ విరమణపై
థామస్ పైన్	తిరిగి	US
ఖతార్ చేర్చిన ప్రాంతాన్ని	నిలిచాయి	వాసులకు మధ్య ఉన్న వ్యాపార సంబంధాలకు సాక్ష్యంగా
ప్రపంచ ఆరోగ్య సంస్థ	ప్రకటించింది	అంతర్జాతీయ ఆందోళనకు సంబంధించిన పబ్లిక్ హెల్త్ ఎమర్జెన్సీని
లూయిస్ పాశ్చర్	గడిపాడు	లిల్లేలో ఐదు ఎక్కువ
మంది వియన్నా స్వరకర్తలు	సహా	లుడ్విగ్ వాన్ బీథోవెన్‌తో
లిన్ డాన్	కైవసం చేసుకున్నాడు	23-21తో మ్యాచ్‌ను
లార్డ్	బైరాన్	లక్షాధికారి అయి ఉండేవాడు
కెరీనా నక్షత్రరాశిలో కనిపించే ఈ నక్షత్రాన్ని	ఆధారం	స్థానాన్ని
లూయీ పాశ్చర్	అంకితం	పూర్తి జీవితాన్ని శాస్త్ర పరిశోధనలకు
రాధికా ఆప్టే	కనిపించింది	బెంగాలీ సినిమాలో
బ్రిటిష్	విజయవంతంగా సవాలు	ప్రధాన స్రవంతి రాజకీయ నాయకత్వం నుండి 1780లో
శ్రీమహా విష్ణువు	హెచ్చినప్పుడు	శ్రీమహా విష్ణువు సృష్టి లోని జీవులకు బాధలు
జింక్ ఆక్సైడ్	నిరోధించడానికి	ఫలకం మరియు టార్టార్ ఏర్పడకుండా
కోపెన్‌హాగన్ నగరంలో	ఉన్నాయి	15 మిచెలిన్ స్టార్డ్ రెస్టారెంట్లు
జాన్ ఆడమ్స్	వెళ్లాడు	అధికారికంగా సెలవు తీసుకోవడానికి జాన్ ఆడమ్స్ హేగ్‌కు
ఖలీఫా అబూ బకర్	పఠించారు	ఖురాన్ 20:14 నుండి ఈ శ్లోకాలను
అరబిందో ఘోష్‌ని	ఉంచారు	అలీపూర్ జైలులో ఏకాంత నిర్బంధంలో
మెక్సికో	సిటీ	యునైటెడ్ మెక్సికన్ స్టేట్స్‌లో అత్యంత వేగంగా అభివృద్ధి చెందుతున్న మెట్రోపాలిటన్ ప్రాంతం
లిన్ డాన్	జననం	14 అక్టోబర్ 1983 ) పదవీ విరమణ
క్లోట్రిమజోల్	ఉంది	ప్రపంచ ఆరోగ్య సంస్థ యొక్క ముఖ్యమైన ఔషధాల జాబితాలో
ప్రథమ మహిళ నాన్సీ రీగన్	కలిగి	ప్రజల మంచితనంపై ప్రత్యేకించి బలమైన విశ్వాసాన్ని
కార్ల్ ఫ్రెడరిక్ గౌస్‌కు	ఉన్నత స్థాయి ఉండేది	గణితశాస్త్రంలో
జాన్ ఆడమ్స్	ప్రారంభించాడు	ఆత్మకథ కోసం పని
ఆస్ట్రేలియా	ఉంది	9° మరియు 44° దక్షిణ అక్షాంశాల మధ్య
ఆరోన్ హిల్లెల్ స్వార్ట్జ్	మరణానంతరం	ఇంటర్నెట్ హాల్ ఆఫ్
వాషింగ్టన్ పోస్ట్‌ను	కూడా పిలుస్తారు	" పోస్ట్ మరియు అనధికారికంగా WaPo అని
రాధా కృష్ణ	ఉల్లంఘించాడు	కుల ప్రాతిపదికను
ఇండియా గేట్	అర్పిస్తోంది	భారత జవానులకు నివాళులు
అబూ బకర్	నిషేధించాడు	చెట్లను, భవనాలను మరియు పశువులను నాశనం
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	గడిపారు	సమయం
నుస్రత్ ఫతే అలీఖాన్‌కు	ఇచ్చారు	ఉస్తాద్ బిరుదు
విరాట్ కోహ్లీ	నవంబర్ 5, 1988న జన్మించాడు	బ్యాటింగ్ టెక్నిక్
కెనడా	ఖాళీ	క్రూయిజ్ షిప్ నుండి 129 మంది కెనడియన్లను
బెంగుళూరు	మార్చడానికి పని	300 కుటుంబాలను
ఫేస్‌బుక్‌లో ఫేస్‌బుక్	ప్రకటించింది	బీటా లాంచ్‌ను
1993 లో అంగీకరించిన కోపెన్ హాగన్ ప్రమాణాలు	చేరడానికి ప్రమాణాలను చేర్చారు	యూరోపియన్ ఎకనామిక్ కమ్యూనిటీ
ఏ	పోషకం	ఫోలిక్ ఆమ్లం
చార్లెస్ - ఎడ్వర్డ్ జెన్నెరెట్	వివరించారు	ఈ ప్రాజెక్ట్‌ను
న్యూయార్క్ టైమ్స్	ఉంచింది	అల్బేనియాను
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	మద్దతు	రిపబ్లికన్ జాన్ మెక్‌కెయిన్‌కు
భారత్	భౌగోళికంగా వేరు	విడివిడిగా ఉన్న రెండు భూభాగాలతో
CEO మార్క్ జుకర్‌బర్గ్‌కు	ఉంది	చాలా శక్తి
షరియాను	ప్రవేశపెట్టాయి	ఇస్లామిక్ రివల్యూషనరీ గార్డ్స్ మరియు ఇతర ఇస్లామిక్ గ్రూపులు
నిరసన	కావచ్చు	ఈక్వటోరియల్ గినియా
ప్రథమ మహిళ నాన్సీ రీగన్	పనిచేశారు	అధ్యక్షురాలిగా
పది	దీవులే	జనావాసాలు
జూడీ గార్లాండ్	ఫ్రాన్సిస్ ఎథెల్ గమ్ జన్మించారు	జూన్ 10, 1922న
టెన్ డిగ్రీ ఛానల్	వేరు	అండమాన్ మరియు నికోబార్ దీవులను
జోసెఫ్	ప్రీస్ట్లీ కూడా	ఆకస్మిక తరం మరియు కలలపై కొన్ని అసలైన పని
ఎసిటిలీన్‌ను	సెమీహైడ్రోజినేట్ చేయవచ్చు	వివిధ రకాల పాలిథిలిన్ ప్లాస్టిక్‌ల కోసం
లిన్ డాన్‌ను	పరీక్షించాడు	భారత్ శ్రీకాంత్ కిదాంబి
ఆల్టా కాలిఫోర్నియా భూభాగం	సహా	శాన్ డియాగోతో
ఎల్విస్ ప్రెస్లీ	కోను ప్రోత్సహించారు.	కోకా - కోలా
ముస్లింలీగ్ రాజకీయ పక్షం	కోరింది	ప్రత్యేక దేశం
అలీ ఇబ్న్ అబీ	తాలిబ్	నిజమైన వారసుడు
విరాట్ కోహ్లీ	వేసుకున్నాడు	విరాట్ కోహ్లీపై కారా
సబ్-సహారా ఆఫ్రికాలోని అత్యంత పొడి దేశం	అర్హత	ICC T20 వరల్డ్ కప్ 2021 క్వాలిఫైయర్స్‌కు
థామస్ పైన్	పిలిచాడు	దేవత
ప్రథమ మహిళ నాన్సీ రీగన్	బహిరంగంగా అభివర్ణించారు	సోవియట్ యూనియన్‌ను "దుష్ట సామ్రాజ్యం"గా
నాసా	మార్చింది	నాసా దశల వారీ బడ్జెట్లను తదనుగుణంగా
థామస్ జెఫెర్సన్	సమాధానం ఇవ్వలేదు	15 ఏళ్ల అబిగైల్ స్మిత్‌కి
జాన్ ఆడమ్స్	స్థాపించారు	మసాచుసెట్స్ మసాచుసెట్స్ కోసం కొత్త రాజ్యాంగాన్ని
ఎవాంజెలిస్టా టోరిసెల్లి	బాగా ప్రసిద్ధి చెందింది	ఎవాంజెలిస్టా టోరిసెల్లికి
లిన్	డాన్	పరాజయాలను చవిచూశాడు
మెక్సికో నగరం	ఉంది	UNESCO ప్రపంచ వారసత్వ ప్రదేశంగా
బ్రిటిష్	వచ్చారు	భారతీయ నాయకులతో ఒక ఒప్పందానికి
ఈస్టిండియా కంపెనీ	పునర్వ్యవస్థీకరించబడింది	సైనిక శాఖతో సహా నాలుగు విభాగాలుగా
స్లమ్‌డాగ్ మిలియనీర్	విప్పుతుంది	స్టార్ట్ అండ్ స్టాప్ మార్గంలో
పాకిస్తాన్	రిజర్వ్ ఇంధనాన్ని కోల్పోయింది	USS "ఎంటర్‌ప్రైజ్
మీజిల్స్	చంపింది	ప్రపంచవ్యాప్తంగా 40 మిలియన్ కేసులలో 777,000
యునైటెడ్ కింగ్‌డమ్	ఉపసంహరించుకుంటుంది	ఆరు నెలల కంటే ఎక్కువ వ్యవధిలో
Qualcomm	సెటిల్‌మెంట్‌ను చెల్లించింది	స్థానిక భారత ఆర్థిక వ్యవస్థలో భారతదేశానికి $700 మిలియన్ల
హిందూ మహాసభ	కమ్యూనిస్ట్ పార్టీ	భారత
భవిష్యత్ న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్	రూపొందించినట్లు పేర్కొన్నారు	లైన్‌ను
వాహనం	గొప్పది	మహాయానానికి
కంబోడియా	చెందినది	కంబోడియాకు
ఇర్ఫాన్ ఖాన్	వివరించాడు	"ది గార్డియన్" యొక్క పీటర్ బ్రాడ్‌షా
డెల్టా ఎయిర్ లైన్స్	ఎక్కించనుంది	100 మిలియన్ల కంటే ఎక్కువ మంది ప్రయాణికులను
నాజీ జర్మనీ	దండయాత్ర	పోలాండ్
సల్మాన్ రష్దీ	పాల్పడ్డాడు	ఇస్లాం మరియు సయ్యద్ రుహోల్లా ముసావి ఖొమేనీకి వ్యతిరేకంగా దైవదూషణకు
యూరప్	విమర్శించింది	అమెరికా రాష్ట్రాల ప్రభుత్వ వ్యవస్థలను
భారత రాజ్యాంగం	ఆవిర్బవింపజేసింది	భారత దేశపు సర్వసత్తాక సామ్యవాద ప్రజాస్వామ్య గణతంత్ర రాజ్యంగా
ఫెడెరికో ఫెల్లిని	చిత్రీకరించాడు	ఆస్కార్-విజేత "అమార్‌కార్డ్‌ను
జనరల్ అబ్ద్ అల్ - కరీం ఖాసిం	నియంత్రించాడు	ఇరాక్‌ను
సోహో ఫౌండ్రీ	ఏర్పాటు	మాథ్యూ బౌల్టన్‌తో మరొక భాగస్వామ్యాన్ని
భారతదేశానికి	లభించింది	స్వాతంత్ర్యం
నిర్మాత ఆంటోనియో డయాబెల్లీ	హామీ	లుడ్విగ్ వాన్ బీథోవెన్‌కు
లిన్ డాన్	ఉన్నాడు	చైనీస్ సుదీర్మాన్ కప్ జట్టులో భాగంగా
క్వాల్‌కామ్	పిటీషన్ చేసింది	సెల్యులార్ టెలిఫోన్ ఇండస్ట్రీస్ అసోసియేషన్‌ను
పురాతన హిందూ దేవాలయం	ఖాట్మండులోని	నేపాల్
జార్జ్ హెర్బర్ట్ వాకర్ బుష్	ఎదుర్కొన్నారు	బడ్జెట్‌ను బ్యాలెన్స్ చేయడంలో పెద్ద ఇబ్బందులు
నిర్మలా	సీతారామన్	భారతదేశపు మొట్టమొదటి పూర్తి సమయం మహిళా ఆర్థిక మంత్రి
ఆస్ట్రేలియా	భక్తులపై కాల్పులు	అనేక సార్లు
దక్షిణ ఆఫ్రికా	ప్రభుత్వం	బీద దేశాల తలసరి జి.డి.పి
స్పానిష్ ఫ్లూ	కలిగి ఉండకపోవచ్చు	విపరీతమైన మానసిక ప్రభావాన్ని
సింధు నది	ఎడమ	ఒడ్డు
మొఘల్ భారతదేశం	ఒక బలమైన మరియు స్థిరమైన ఆర్థిక వ్యవస్థను	వాణిజ్య విస్తరణకు మరియు సంస్కృతిని ఎక్కువగా ప్రోత్సహించడానికి
మెక్సికో సిటీ	అనేది	26 మంది ప్రతినిధుల సమాంతర ఎన్నికల కోసం ఒకే నియోజకవర్గం
పారిస్ నగరం	ఉంది	ఫ్రెంచ్ ప్రచురణ పరిశ్రమకు కేంద్రంగా
అబ్రహం లింకన్	కలిగి	నేర్చుకోవడంలో జీవితాంతం ఆసక్తిని
Marseille	కూడా వ్రాయబడింది	ఆంగ్లంలో Marseilles అని
జార్జ్ బెర్నార్డ్ షా	ఒప్పించారు	"వెస్ట్రీమ్యాన్" కోసం పోటీ లేని ఖాళీని భర్తీ చేయడానికి
లిన్	న్యూజిలాండ్ ఓపెన్‌ను గెలుచుకున్నాడు	ప్రతిభావంతులైన ఇండోనేషియా యువ ఆటగాడు జోనటన్ క్రిస్టీని
మాక్స్ బోర్న్	చేశాడు	సాలిడ్-స్టేట్ ఫిజిక్స్ మరియు ఆప్టిక్స్‌కు కృషి
బహ్రెయిన్	పాల్గొంది	వైపు రెండవ ప్రపంచ యుద్ధంలో
నుస్రత్ ఫతే అలీ ఖాన్	జతకట్టాడు	పీటర్ గాబ్రియేల్‌తో
మెసోఅమెరికా	ఆధిపత్యం	ఉరుక్
గురునానక్	సందర్శించారు	టిబెట్
జోహన్ రోత్‌మన్	కలిగి ఉండమని ప్రతిపాదించాడు	లిన్నెయస్‌ను
బ్రెజిల్	ఉంది	అరబు లీగులో ఒక పరిశీలకసభ్యదేశంగా
స్వామి వివేకానంద	పరిచయం	హిందూమతాన్ని
ఆస్ట్రేలియా	వెళ్ళింది	బయటకి
బౌద్ధమతం	ప్రబలంగా ఉండేది	లక్షద్వీప్‌లో
లూసియానా ఫ్రెంచ్	పోషించాలి	యూరోపియన్ యూనియన్ యొక్క సంస్థలలో
భవిష్యత్తు న్యూయార్క్ మెట్స్ జనరల్ మేనేజర్ బ్రాడీ వాన్ వాగెనెన్	అన్నారు	ఆర్మ్‌స్ట్రాంగ్ షట్‌డౌన్
టర్కీ	సృష్టిస్తుంది	కార్మికవర్గానికి ప్రయోజనకరమైన పరిస్థితులను
సైరస్ వెస్ట్ ఫీల్డ్	వేచి ఉండాల్సి వచ్చింది	అంతర్యుద్ధం
నైజర్	ప్రధానంగా	చాలా వేడిగా మరియు పొడిగా
బొగ్గును	మాత్రమే	భర్తీ
నాజీ జర్మనీ	ఆక్రమించుకుంది	డెన్మార్క్, నార్వే దేశాలను
పంజాబ్‌లోని ముస్లింలు ఎక్కువగా ఉండే పశ్చిమ భాగం	మారింది	తూర్పు పాకిస్తాన్‌గా
బెంగళూరు	మారింది	జంట నగరంగా
అలాస్కా యొక్క	అతిపెద్ద నగరం	అలాస్కా
లీ	సృష్టికర్త	వరల్డ్ వైడ్ వెబ్
కార్ల్ ఫ్రెడరిక్ గౌస్	ఉన్నాడు	ప్రశంసలు మరియు ఉత్సాహంతో నిండి
బ్యూటేన్	అందిస్తుంది	ప్రొపేన్ వలె అదే ప్రమాదాలను
సాహిత్యం	పంచే సాధనంగా ఉపయోగపడింది	సామాన్యులకు సందేశాన్ని
బ్రూస్ లీ	అభ్యసించారు	నాటకం మరియు ఆసియా మరియు పాశ్చాత్య తత్వశాస్త్రాన్ని
లక్సెంబర్గ్	ఆధారిత	స్కైప్ టెక్నాలజీస్ SA IPv4 ప్రోటోకాల్‌కు మాత్రమే మద్దతు
జపాన్	స్వాధీనం	హాంగ్ కాంగ్ లోని
స్లమ్‌డాగ్ మిలియనీర్	ఉంది	$377.9 మిలియన్లకు పైగా
కిర్గిజ్స్తాన్	ప్రకటించింది	మాస్కో నుండి స్వాతంత్ర్యం
ఇర్ఫాన్ ఖాన్	నటించాడు	ఎక్కువగా హిందీ సినిమాల్లో
గ్రహం	బృహస్పతి	సాధారణంగా రాత్రి ఆకాశంలో నాల్గవ ప్రకాశవంతమైన వస్తువు
2021ని	నిర్వహించింది	వరల్డ్ కబడ్డీ ఫెడరేషన్
బెలారస్	ఉండవచ్చు	తదుపరి ఆంక్షలకు లోబడి
విరాట్ కోహ్లీ	సగటు	58.21
ఆస్ట్రేలియా	ఆతిథ్యం ఇవ్వనుంది	2032లో బ్రిస్బేన్‌లో జరిగే క్రీడలకు
ఇంగ్లండ్	గెలుపొందినట్లు ప్రకటించింది	ఆస్ట్రేలియాను
కార్ల్ మార్క్స్	గడిపాడు	లండన్లో జీవితం
జాన్ ఆడమ్స్	నిలవలేదు	65 ఓట్లతో మూడో స్థానంలో
సింగపూర్	భాగమైంది	స్ట్రెయిట్స్ సెటిల్మెంట్లలో
స్పెయిన్	ఉపయోగించింది	ఓచర్‌ను
ఈ నగరం	వెళ్లవచ్చు	పడవలో
Facebookకి	తరలించడం ప్రారంభించింది	వినియోగదారులను
నవాజుద్దీన్	లభించింది	అంతర్జాతీయ గుర్తింపు
అల్బేనియా	పంచుకుంటుంది	అల్బేనియాతో అనుబంధించబడిన అనేక చిహ్నాలను
అలాస్కా	ఓడించాడు	సంయుక్త రాష్ట్ర అభ్యర్థి దీర్ఘకాల రిపబ్లికన్ అభ్యర్థి టెడ్ స్టెవెంస్
కనీసం 900,000 మంది	విడిచిపెట్టారు	అల్బేనియాను
లూయిస్ పాశ్చర్	చేశారు	సవాలు ఒప్పందంపై
టిప్పు సుల్తాన్	ప్రారంభించాడు	లొంగుబాటు నిబంధనల కోసం చర్చలు
ఫెడెరికో ఫెల్లినీకి	అప్పగించబడింది	మైయోరీలో సిసిలియన్ సన్నివేశాలను చిత్రీకరించడానికి
హవాయి	ఆక్రమించింది	సెంట్రల్ పసిఫిక్‌లోని ఒక ద్వీపసమూహాన్ని
ఆరోన్ హిల్లెల్ స్వార్ట్జ్	మాట్లాడారు	అంశంపై
భారతదేశం	వెతుకుతోంది	ఒక మార్గం కోసం
లుడ్విగ్ వాన్	బీథోవెన్	లుడ్విగ్ వాన్ బీథోవెన్ కంటే తక్కువ
1992 మాస్ట్రిక్ట్ ఒప్పందం	స్థాపించింది	EUని
1914లో	పేరు	ముస్సోలినీ కొత్తగా ఏర్పడిన రాజకీయ ఉద్యమం
వాషింగ్టన్ పోస్ట్	ప్రయోజనం చేకూర్చేందుకు	హర్స్ట్‌కు
సత్యజిత్ రే	గెలుచుకున్నారు	ప్రధాన బహుమతులు
కాలిఫోర్నియా	తెరవబడింది	ప్రజలకు
జియోనిస్ట్ ప్రణాళిక	ఆధిపత్యం కోసం	లెబనాన్‌పై
ప్రధాన ఉపనదులు	కలుస్తున్న	కృష్ణా నదిలో
ఫ్రెంచ్ అల్జీరియా	చేసింది	ఫ్రెంచ్ కాలనీని
కోపెన్‌హాగన్ నగరం	ప్రసిద్ధి చెందింది	కోపెన్‌హాగన్ క్షితిజ సమాంతర స్కైలైన్ నగరానికి
వాషింగ్టన్ పోస్ట్‌ను	అని కూడా పిలుస్తారు	WaPo
ముస్లింలకు	ఉంది	ప్రవర్తన
స్విట్జర్లాండ్‌ని	పిలుస్తారు	రొమాండీ
